id,code,structure_type,ekatte,has_taxoffice,type_village_city_id/id,zipcode,country_id/id,name,state_id/id
l10n_bg.00084,VAR01-00,Municipality,84,False,l10n_bg.village,,base.bg,Avren,l10n_bg.S10135
l10n_bg.00151,BGS01-00,Municipality,151,False,l10n_bg.town,,base.bg,Aytos,l10n_bg.S07079
l10n_bg.00182,VAR02-00,Municipality,182,False,l10n_bg.town,,base.bg,Aksakovo,l10n_bg.S10135
l10n_bg.00415,SLS01-00,Municipality,415,False,l10n_bg.town,,base.bg,Alfatar,l10n_bg.S66425
l10n_bg.00504,SFO54-00,Municipality,504,False,l10n_bg.village,,base.bg,Anton,l10n_bg.S68134
l10n_bg.00518,TGV02-00,Municipality,518,False,l10n_bg.town,,base.bg,Antonovo,l10n_bg.S73626
l10n_bg.52218,LOV02-00,Municipality,52218,False,l10n_bg.town,,base.bg,Apriltsi,l10n_bg.S43952
l10n_bg.00607,KRZ02-00,Municipality,607,False,l10n_bg.town,,base.bg,Ardino,l10n_bg.S40909
l10n_bg.00702,PDV01-00,Municipality,702,False,l10n_bg.town,,base.bg,Asenovgrad,l10n_bg.S56784
l10n_bg.02508,DOB03-00,Municipality,2508,False,l10n_bg.town,,base.bg,Balchik,l10n_bg.S72624
l10n_bg.44402,SML02-00,Municipality,44402,False,l10n_bg.village,,base.bg,Banite,l10n_bg.S67653
l10n_bg.02676,BLG01-00,Municipality,2676,False,l10n_bg.town,,base.bg,Bansko,l10n_bg.S04279
l10n_bg.02837,PAZ03-00,Municipality,2837,False,l10n_bg.town,,base.bg,Batak,l10n_bg.S55155
l10n_bg.03366,PVN03-00,Municipality,3366,False,l10n_bg.town,,base.bg,Belene,l10n_bg.S56722
l10n_bg.03504,BLG02-00,Municipality,3504,False,l10n_bg.town,,base.bg,Belitsa,l10n_bg.S04279
l10n_bg.03592,PAZ04-00,Municipality,3592,False,l10n_bg.town,,base.bg,Belovo,l10n_bg.S55155
l10n_bg.03616,VID01-00,Municipality,3616,False,l10n_bg.town,,base.bg,Belogradchik,l10n_bg.S10971
l10n_bg.03719,VAR04-00,Municipality,3719,False,l10n_bg.town,,base.bg,Beloslav,l10n_bg.S10135
l10n_bg.03928,MON02-00,Municipality,3928,False,l10n_bg.town,,base.bg,Berkovitsa,l10n_bg.S48489
l10n_bg.04279,BLG03-00,Municipality,4279,True,l10n_bg.town,,base.bg,Blagoevgrad,l10n_bg.S04279
l10n_bg.04501,KNL04-00,Municipality,4501,False,l10n_bg.town,,base.bg,Bobov dol,l10n_bg.S41112
l10n_bg.04532,KNL05-00,Municipality,4532,False,l10n_bg.town,,base.bg,Boboshevo,l10n_bg.S41112
l10n_bg.05027,SFO06-00,Municipality,5027,False,l10n_bg.town,,base.bg,Bozhurishte,l10n_bg.S68134
l10n_bg.05195,VID03-00,Municipality,5195,False,l10n_bg.village,,base.bg,Boynitsa,l10n_bg.S10971
l10n_bg.05236,MON04-00,Municipality,5236,False,l10n_bg.town,,base.bg,Boychinovtsi,l10n_bg.S48489
l10n_bg.05284,JAM03-00,Municipality,5284,False,l10n_bg.town,,base.bg,Bolyarovo,l10n_bg.S87374
l10n_bg.05462,SML05-00,Municipality,5462,False,l10n_bg.village,,base.bg,Borino,l10n_bg.S67653
l10n_bg.05548,VRC05-00,Municipality,5548,False,l10n_bg.village,,base.bg,Borovan,l10n_bg.S12259
l10n_bg.05611,RSE03-00,Municipality,5611,False,l10n_bg.town,,base.bg,Borovo,l10n_bg.S63427
l10n_bg.05815,SFO07-00,Municipality,5815,False,l10n_bg.town,,base.bg,Botevgrad,l10n_bg.S68134
l10n_bg.06183,SZR04-00,Municipality,6183,False,l10n_bg.village,,base.bg,Bratya Daskalovi,l10n_bg.S68850
l10n_bg.06207,PAZ06-00,Municipality,6207,False,l10n_bg.town,,base.bg,Bratsigovo,l10n_bg.S55155
l10n_bg.06224,VID06-00,Municipality,6224,False,l10n_bg.town,,base.bg,Bregovo,l10n_bg.S10971
l10n_bg.06286,PER08-00,Municipality,6286,False,l10n_bg.town,,base.bg,Breznik,l10n_bg.S55871
l10n_bg.06361,PDV07-00,Municipality,6361,False,l10n_bg.town,,base.bg,Brezovo,l10n_bg.S56784
l10n_bg.06570,MON07-00,Municipality,6570,False,l10n_bg.town,,base.bg,Brusartsi,l10n_bg.S48489
l10n_bg.07079,BGS04-00,Municipality,7079,True,l10n_bg.town,,base.bg,Burgas,l10n_bg.S07079
l10n_bg.07598,VAR05-00,Municipality,7598,False,l10n_bg.town,,base.bg,Byala,l10n_bg.S10135
l10n_bg.07603,RSE04-00,Municipality,7603,False,l10n_bg.town,,base.bg,Byala,l10n_bg.S63427
l10n_bg.07702,VRC08-00,Municipality,7702,False,l10n_bg.town,,base.bg,Byala Slatina,l10n_bg.S12259
l10n_bg.10135,VAR06-00,Municipality,10135,True,l10n_bg.town,,base.bg,Varna,l10n_bg.S10135
l10n_bg.58222,SHU23-00,Municipality,58222,False,l10n_bg.town,,base.bg,Veliki Preslav,l10n_bg.S83510
l10n_bg.10447,VTR04-00,Municipality,10447,True,l10n_bg.town,,base.bg,Veliko Tarnovo,l10n_bg.S10447
l10n_bg.10450,PAZ08-00,Municipality,10450,False,l10n_bg.town,,base.bg,Velingrad,l10n_bg.S55155
l10n_bg.10642,SHU07-00,Municipality,10642,False,l10n_bg.village,,base.bg,Venets,l10n_bg.S83510
l10n_bg.10803,RSE05-00,Municipality,10803,False,l10n_bg.town,,base.bg,Vetovo,l10n_bg.S63427
l10n_bg.10865,VAR08-00,Municipality,10865,False,l10n_bg.village,,base.bg,Vetrino,l10n_bg.S10135
l10n_bg.10971,VID09-00,Municipality,10971,True,l10n_bg.town,,base.bg,Vidin,l10n_bg.S10971
l10n_bg.12259,VRC10-00,Municipality,12259,True,l10n_bg.town,,base.bg,Vratsa,l10n_bg.S12259
l10n_bg.12543,MON11-00,Municipality,12543,False,l10n_bg.town,,base.bg,Valchedram,l10n_bg.S48489
l10n_bg.12574,VAR09-00,Municipality,12574,False,l10n_bg.town,,base.bg,Valchi dol,l10n_bg.S10135
l10n_bg.12766,SHU10-00,Municipality,12766,False,l10n_bg.town,,base.bg,Varbitsa,l10n_bg.S83510
l10n_bg.12961,MON12-00,Municipality,12961,False,l10n_bg.town,,base.bg,Varshets,l10n_bg.S48489
l10n_bg.14218,GAB05-00,Municipality,14218,True,l10n_bg.town,,base.bg,Gabrovo,l10n_bg.S14218
l10n_bg.14711,DOB12-00,Municipality,14711,False,l10n_bg.town,,base.bg,General Toshevo,l10n_bg.S72624
l10n_bg.14773,MON14-00,Municipality,14773,False,l10n_bg.village,,base.bg,Georgi Damyanovo,l10n_bg.S48489
l10n_bg.15031,SLS07-00,Municipality,15031,False,l10n_bg.town,,base.bg,Glavinitsa,l10n_bg.S66425
l10n_bg.15309,SFO09-00,Municipality,15309,False,l10n_bg.town,,base.bg,Godech,l10n_bg.S68134
l10n_bg.16314,SFO10-00,Municipality,16314,False,l10n_bg.village,,base.bg,Gorna Malina,l10n_bg.S68134
l10n_bg.16359,VTR06-00,Municipality,16359,False,l10n_bg.town,,base.bg,Gorna Oryahovitsa,l10n_bg.S10447
l10n_bg.17395,BLG11-00,Municipality,17395,False,l10n_bg.town,,base.bg,Gotse Delchev,l10n_bg.S04279
l10n_bg.17645,VID15-00,Municipality,17645,False,l10n_bg.town,,base.bg,Gramada,l10n_bg.S10971
l10n_bg.18099,PVN08-00,Municipality,18099,False,l10n_bg.town,,base.bg,Gulyantsi,l10n_bg.S56722
l10n_bg.18157,SZR37-00,Municipality,18157,False,l10n_bg.town,,base.bg,Gurkovo,l10n_bg.S68850
l10n_bg.18280,SZR07-00,Municipality,18280,False,l10n_bg.town,,base.bg,Galabovo,l10n_bg.S68850
l10n_bg.18366,BLG13-00,Municipality,18366,False,l10n_bg.village,,base.bg,Garmen,l10n_bg.S04279
l10n_bg.20184,RSE08-00,Municipality,20184,False,l10n_bg.town,,base.bg,Dve mogili,l10n_bg.S63427
l10n_bg.20465,SML09-00,Municipality,20465,False,l10n_bg.town,,base.bg,Devin,l10n_bg.S67653
l10n_bg.20482,VAR14-00,Municipality,20482,False,l10n_bg.town,,base.bg,Devnya,l10n_bg.S10135
l10n_bg.20746,KRZ08-00,Municipality,20746,False,l10n_bg.town,,base.bg,Dzhebel,l10n_bg.S40909
l10n_bg.21052,HKV09-00,Municipality,21052,False,l10n_bg.town,,base.bg,Dimitrovgrad,l10n_bg.S77195
l10n_bg.21097,VID16-00,Municipality,21097,False,l10n_bg.town,,base.bg,Dimovo,l10n_bg.S10971
l10n_bg.72624,DOB28-00,Municipality,72624,True,l10n_bg.town,,base.bg,Dobrich,l10n_bg.S72624
l10n_bg.22006,SFO59-00,Municipality,22006,False,l10n_bg.town,,base.bg,Dolna banya,l10n_bg.S68134
l10n_bg.22215,PVN10-00,Municipality,22215,False,l10n_bg.town,,base.bg,Dolna Mitropolia,l10n_bg.S56722
l10n_bg.22407,PVN11-00,Municipality,22407,False,l10n_bg.town,,base.bg,Dolni Dabnik,l10n_bg.S56722
l10n_bg.21912,VAR13-00,Municipality,21912,False,l10n_bg.town,,base.bg,Dolni chiflik,l10n_bg.S10135
l10n_bg.23025,SML10-00,Municipality,23025,False,l10n_bg.town,,base.bg,Dospat,l10n_bg.S67653
l10n_bg.23409,SFO16-00,Municipality,23409,False,l10n_bg.town,,base.bg,Dragoman,l10n_bg.S68134
l10n_bg.23947,GAB12-00,Municipality,23947,False,l10n_bg.town,,base.bg,Dryanovo,l10n_bg.S14218
l10n_bg.24030,SLS10-00,Municipality,24030,False,l10n_bg.town,,base.bg,Dulovo,l10n_bg.S66425
l10n_bg.68789,KNL48-00,Municipality,68789,False,l10n_bg.town,,base.bg,Dupnitsa,l10n_bg.S41112
l10n_bg.24565,VAR16-00,Municipality,24565,False,l10n_bg.town,,base.bg,Dalgopol,l10n_bg.S10135
l10n_bg.27190,VTR13-00,Municipality,27190,False,l10n_bg.town,,base.bg,Elena,l10n_bg.S10447
l10n_bg.27303,SFO17-00,Municipality,27303,False,l10n_bg.town,,base.bg,Elin Pelin,l10n_bg.S68134
l10n_bg.27382,JAM07-00,Municipality,27382,False,l10n_bg.town,,base.bg,Elhovo,l10n_bg.S87374
l10n_bg.27632,SFO18-00,Municipality,27632,False,l10n_bg.town,,base.bg,Etropole,l10n_bg.S68134
l10n_bg.30065,RAZ11-00,Municipality,30065,False,l10n_bg.town,,base.bg,Zavet,l10n_bg.S61710
l10n_bg.30778,PER19-00,Municipality,30778,False,l10n_bg.town,,base.bg,Zemen,l10n_bg.S55871
l10n_bg.30962,VTR14-00,Municipality,30962,False,l10n_bg.town,,base.bg,Zlataritsa,l10n_bg.S10447
l10n_bg.31044,SFO47-00,Municipality,31044,False,l10n_bg.town,,base.bg,Zlatitsa,l10n_bg.S68134
l10n_bg.31111,SML11-00,Municipality,31111,False,l10n_bg.town,,base.bg,Zlatograd,l10n_bg.S67653
l10n_bg.32024,HKV11-00,Municipality,32024,False,l10n_bg.town,,base.bg,Ivaylovgrad,l10n_bg.S77195
l10n_bg.32095,RSE13-00,Municipality,32095,False,l10n_bg.village,,base.bg,Ivanovo,l10n_bg.S63427
l10n_bg.55782,PVN23-00,Municipality,55782,False,l10n_bg.town,,base.bg,Iskar,l10n_bg.S56722
l10n_bg.32874,RAZ14-00,Municipality,32874,False,l10n_bg.town,,base.bg,Isperih,l10n_bg.S61710
l10n_bg.32901,SFO20-00,Municipality,32901,False,l10n_bg.town,,base.bg,Ihtiman,l10n_bg.S68134
l10n_bg.35064,DOB17-00,Municipality,35064,False,l10n_bg.town,,base.bg,Kavarna,l10n_bg.S72624
l10n_bg.35167,SZR12-00,Municipality,35167,False,l10n_bg.town,,base.bg,Kazanlak,l10n_bg.S68850
l10n_bg.35242,SLS15-00,Municipality,35242,False,l10n_bg.village,,base.bg,Kaynardzha,l10n_bg.S66425
