id,ekatte,type_village_city_id/id,name,code,structure_type,country_id/id,zipcode,has_taxoffice
l10n_bg.00062,00062,l10n_bg.village,Аврамово,KRZ02-19,normal,base.bg,,False
l10n_bg.00117,00117,l10n_bg.village,Азманите,GAB35-00,normal,base.bg,,False
l10n_bg.00179,00179,l10n_bg.village,Акациево,VID09-00,normal,base.bg,,False
l10n_bg.00206,00206,l10n_bg.village,Албанци,KRZ08-17,normal,base.bg,,False
l10n_bg.00268,00268,l10n_bg.village,Александрия,DOB20-00,normal,base.bg,,False
l10n_bg.00271,00271,l10n_bg.village,Александрово,BGS17-00,normal,base.bg,,False
l10n_bg.00330,00330,l10n_bg.village,Александрово,SHU25-00,normal,base.bg,,False
l10n_bg.00360,00360,l10n_bg.village,Александър Стамболийски,DOB12-00,normal,base.bg,,False
l10n_bg.00388,00388,l10n_bg.village,Алиговска,SML31-01,normal,base.bg,,False
l10n_bg.00456,00456,l10n_bg.village,Ангелов,GAB05-09,normal,base.bg,,False
l10n_bg.00494,00494,l10n_bg.village,Антимово,SLS34-00,normal,base.bg,,False
l10n_bg.00521,00521,l10n_bg.village,Аплаци,VTR13-00,normal,base.bg,,False
l10n_bg.00610,00610,l10n_bg.village,Арзан,PER08-00,normal,base.bg,,False
l10n_bg.00624,00624,l10n_bg.village,Арковна,VAR16-00,normal,base.bg,,False
l10n_bg.00638,00638,l10n_bg.village,Армените,GAB05-00,normal,base.bg,,False
l10n_bg.00641,00641,l10n_bg.village,Армянковци,GAB35-00,normal,base.bg,,False
l10n_bg.00669,00669,l10n_bg.village,Арпаджик,SML16-00,normal,base.bg,,False
l10n_bg.00758,00758,l10n_bg.village,Асеново,JAM25-00,normal,base.bg,,False
l10n_bg.02035,02035,l10n_bg.village,Бабек,PDV07-00,normal,base.bg,,False
l10n_bg.02052,02052,l10n_bg.village,Бабинска река,KNL04-00,normal,base.bg,,False
l10n_bg.02066,02066,l10n_bg.village,Бабица,PER08-00,normal,base.bg,,False
l10n_bg.02076,02076,l10n_bg.village,Баблон,SML31-30,normal,base.bg,,False
l10n_bg.02110,02110,l10n_bg.village,Багалевци,VTR13-00,normal,base.bg,,False
l10n_bg.02169,02169,l10n_bg.village,Бадевци,VTR13-00,normal,base.bg,,False
l10n_bg.02172,02172,l10n_bg.village,Бадино,KNL05-00,normal,base.bg,,False
l10n_bg.02191,02191,l10n_bg.village,Баевци,VTR13-00,normal,base.bg,,False
l10n_bg.02207,02207,l10n_bg.village,Баевци,GAB05-00,normal,base.bg,,False
l10n_bg.02213,02213,l10n_bg.village,Баждари,VTR13-00,normal,base.bg,,False
l10n_bg.02230,02230,l10n_bg.village,Байкалско,PER36-00,normal,base.bg,,False
l10n_bg.02289,02289,l10n_bg.village,Бакьово,SFO43-00,normal,base.bg,,False
l10n_bg.02302,02302,l10n_bg.village,Балабанско,LOV34-00,normal,base.bg,,False
