id,ekatte,type_village_city_id/id,name,code,structure_type,country_id/id,zipcode,has_taxoffice
l10n_bg.00062,62,l10n_bg.village,Avramovo,KRZ02-19,normal,base.bg,,False
l10n_bg.00117,117,l10n_bg.village,Azmanite,GAB35-00,normal,base.bg,,False
l10n_bg.00179,179,l10n_bg.village,Akatsievo,VID09-00,normal,base.bg,,False
l10n_bg.00206,206,l10n_bg.village,Albantsi,KRZ08-17,normal,base.bg,,False
l10n_bg.00268,268,l10n_bg.village,Aleksandria,DOB20-00,normal,base.bg,,False
l10n_bg.00271,271,l10n_bg.village,Aleksandrovo,BGS17-00,normal,base.bg,,False
l10n_bg.00330,330,l10n_bg.village,Aleksandrovo,SHU25-00,normal,base.bg,,False
l10n_bg.00360,360,l10n_bg.village,Aleksandar Stamboliyski,DOB12-00,normal,base.bg,,False
l10n_bg.00388,388,l10n_bg.village,Aligovska,SML31-01,normal,base.bg,,False
l10n_bg.00456,456,l10n_bg.village,Angelov,GAB05-09,normal,base.bg,,False
l10n_bg.00494,494,l10n_bg.village,Antimovo,SLS34-00,normal,base.bg,,False
l10n_bg.00521,521,l10n_bg.village,Aplatsi,VTR13-00,normal,base.bg,,False
l10n_bg.00610,610,l10n_bg.village,Arzan,PER08-00,normal,base.bg,,False
l10n_bg.00624,624,l10n_bg.village,Arkovna,VAR16-00,normal,base.bg,,False
l10n_bg.00638,638,l10n_bg.village,Armenite,GAB05-00,normal,base.bg,,False
l10n_bg.00641,641,l10n_bg.village,Armyankovtsi,GAB35-00,normal,base.bg,,False
l10n_bg.00669,669,l10n_bg.village,Arpadzhik,SML16-00,normal,base.bg,,False
l10n_bg.00758,758,l10n_bg.village,Asenovo,JAM25-00,normal,base.bg,,False
l10n_bg.02035,2035,l10n_bg.village,Babek,PDV07-00,normal,base.bg,,False
l10n_bg.02052,2052,l10n_bg.village,Babinska reka,KNL04-00,normal,base.bg,,False
l10n_bg.02066,2066,l10n_bg.village,Babitsa,PER08-00,normal,base.bg,,False
l10n_bg.02076,2076,l10n_bg.village,Bablon,SML31-30,normal,base.bg,,False
l10n_bg.02110,2110,l10n_bg.village,Bagalevtsi,VTR13-00,normal,base.bg,,False
l10n_bg.02169,2169,l10n_bg.village,Badevtsi,VTR13-00,normal,base.bg,,False
l10n_bg.02172,2172,l10n_bg.village,Badino,KNL05-00,normal,base.bg,,False
l10n_bg.02191,2191,l10n_bg.village,Baevtsi,VTR13-00,normal,base.bg,,False
l10n_bg.02207,2207,l10n_bg.village,Baevtsi,GAB05-00,normal,base.bg,,False
l10n_bg.02213,2213,l10n_bg.village,Bazhdari,VTR13-00,normal,base.bg,,False
l10n_bg.02230,2230,l10n_bg.village,Baykalsko,PER36-00,normal,base.bg,,False
l10n_bg.02289,2289,l10n_bg.village,Bakyovo,SFO43-00,normal,base.bg,,False
l10n_bg.02302,2302,l10n_bg.village,Balabansko,LOV34-00,normal,base.bg,,False
l10n_bg.02333,2333,l10n_bg.village,Balaleya,GAB12-00,normal,base.bg,,False
l10n_bg.02347,2347,l10n_bg.village,Balanite,GAB05-00,normal,base.bg,,False
l10n_bg.02378,2378,l10n_bg.village,Balvantsite,GAB12-00,normal,base.bg,,False
l10n_bg.02419,2419,l10n_bg.village,Balinovtsi,GAB05-09,normal,base.bg,,False
l10n_bg.02453,2453,l10n_bg.village,Balkan mahala,PDV15-00,normal,base.bg,,False
l10n_bg.02484,2484,l10n_bg.village,Balkantsi,DOB12-00,normal,base.bg,,False
l10n_bg.02498,2498,l10n_bg.village,Balutsi,VTR13-00,normal,base.bg,,False
l10n_bg.02539,2539,l10n_bg.village,Balyovtsi,SFO20-06,normal,base.bg,,False
l10n_bg.02542,2542,l10n_bg.village,Balyuvitsa,MON02-00,normal,base.bg,,False
l10n_bg.02556,2556,l10n_bg.village,Banari,GAB12-00,normal,base.bg,,False
l10n_bg.02563,2563,l10n_bg.village,Bangeytsi,GAB35-00,normal,base.bg,,False
l10n_bg.02614,2614,l10n_bg.village,Banishte,PER08-00,normal,base.bg,,False
l10n_bg.02628,2628,l10n_bg.village,Bankovets,TGV02-00,normal,base.bg,,False
l10n_bg.02631,2631,l10n_bg.village,Bankovtsi,GAB05-00,normal,base.bg,,False
l10n_bg.02645,2645,l10n_bg.village,Bankya,PER51-00,normal,base.bg,,False
l10n_bg.02659,2659,l10n_bg.town,Bankya,SOF46-00,normal,base.bg,,False
l10n_bg.02662,2662,l10n_bg.village,Banovo,VAR26-00,normal,base.bg,,False
l10n_bg.02689,2689,l10n_bg.village,Banchovtsi,SFO20-00,normal,base.bg,,False
l10n_bg.02806,2806,l10n_bg.village,Baskaltsi,BLG33-00,normal,base.bg,,False
l10n_bg.02899,2899,l10n_bg.village,Batulia,SFO43-00,normal,base.bg,,False
l10n_bg.02926,2926,l10n_bg.village,Bahalin,SFO45-00,normal,base.bg,,False
l10n_bg.02943,2943,l10n_bg.village,Bahretsi,GAB35-00,normal,base.bg,,False
l10n_bg.03023,3023,l10n_bg.village,Bashtino,SZR23-00,normal,base.bg,,False
l10n_bg.03040,3040,l10n_bg.village,Bdintsi,DOB15-00,normal,base.bg,,False
l10n_bg.03126,3126,l10n_bg.village,Bedzhene,SHU22-00,normal,base.bg,,False
l10n_bg.03157,3157,l10n_bg.village,Bezhanovo,DOB12-00,normal,base.bg,,False
l10n_bg.03188,3188,l10n_bg.village,Bezvodno,KRZ35-00,normal,base.bg,,False
l10n_bg.03232,3232,l10n_bg.village,Beykovtsi,VTR13-00,normal,base.bg,,False
l10n_bg.03246,3246,l10n_bg.village,Bekriite,GAB05-00,normal,base.bg,,False
l10n_bg.03263,3263,l10n_bg.village,Bela,VID16-00,normal,base.bg,,False
l10n_bg.03277,3277,l10n_bg.village,Belanitsa,PER36-00,normal,base.bg,,False
l10n_bg.03321,3321,l10n_bg.village,Belev dol,SML31-00,normal,base.bg,,False
l10n_bg.03335,3335,l10n_bg.village,Belevehchevo,BLG40-00,normal,base.bg,,False
l10n_bg.03349,3349,l10n_bg.village,Belevren,BGS06-00,normal,base.bg,,False
l10n_bg.03383,3383,l10n_bg.village,Beli breg,MON04-00,normal,base.bg,,False
l10n_bg.03407,3407,l10n_bg.village,Beli bryag,SZR27-00,normal,base.bg,,False
l10n_bg.03424,3424,l10n_bg.village,Beli dol,HKV11-04,normal,base.bg,,False
l10n_bg.03455,3455,l10n_bg.village,Belila,BGS06-00,normal,base.bg,,False
l10n_bg.03513,3513,l10n_bg.village,Belitsa,GAB35-00,normal,base.bg,,False
l10n_bg.07960,7960,l10n_bg.village,Belitsa,SFO20-00,normal,base.bg,,False
l10n_bg.03650,3650,l10n_bg.village,Belomazhite,GAB05-00,normal,base.bg,,False
l10n_bg.03753,3753,l10n_bg.village,Belchevtsi,VTR04-09,normal,base.bg,,False
l10n_bg.03770,3770,l10n_bg.village,Belchinski bani,SFO39-03,normal,base.bg,,False
l10n_bg.03784,3784,l10n_bg.village,Belyovo,BLG40-00,normal,base.bg,,False
l10n_bg.03842,3842,l10n_bg.village,Benkovski,SFO56-00,normal,base.bg,,False
l10n_bg.03856,3856,l10n_bg.village,Benkovski,SZR31-00,normal,base.bg,,False
l10n_bg.03873,3873,l10n_bg.village,Berayntsi,PER51-00,normal,base.bg,,False
l10n_bg.03887,3887,l10n_bg.village,Berende,PER19-00,normal,base.bg,,False
l10n_bg.03890,3890,l10n_bg.village,Berende,SFO16-00,normal,base.bg,,False
l10n_bg.03900,3900,l10n_bg.village,Berende izvor,SFO16-00,normal,base.bg,,False
l10n_bg.03931,3931,l10n_bg.village,Berkovski,TGV24-00,normal,base.bg,,False
l10n_bg.03945,3945,l10n_bg.village,Berkovtsi,VTR13-00,normal,base.bg,,False
l10n_bg.03959,3959,l10n_bg.village,Beronovo,BGS23-00,normal,base.bg,,False
l10n_bg.03986,3986,l10n_bg.village,Besnurka,KRZ35-36,normal,base.bg,,False
l10n_bg.04011,4011,l10n_bg.village,Bizhovtsi,VTR04-00,normal,base.bg,,False
l10n_bg.04025,4025,l10n_bg.village,Bizhovtsi,GAB35-00,normal,base.bg,,False
l10n_bg.04042,4042,l10n_bg.village,Bilintsi,PER08-00,normal,base.bg,,False
l10n_bg.04068,4068,l10n_bg.village,Bilkini,GAB12-00,normal,base.bg,,False
l10n_bg.04090,4090,l10n_bg.village,Bilo,DOB17-00,normal,base.bg,,False
l10n_bg.04100,4100,l10n_bg.village,Bilyanska,SML31-00,normal,base.bg,,False
l10n_bg.04176,4176,l10n_bg.village,Bistrets,BGS06-00,normal,base.bg,,False
l10n_bg.04323,4323,l10n_bg.village,Blatets,KNL29-00,normal,base.bg,,False
l10n_bg.04340,4340,l10n_bg.village,Blateshnitsa,PER19-00,normal,base.bg,,False
l10n_bg.04371,4371,l10n_bg.village,Blato,KNL04-00,normal,base.bg,,False
l10n_bg.04412,4412,l10n_bg.village,Bliznak,BGS12-00,normal,base.bg,,False
l10n_bg.04443,4443,l10n_bg.village,Bliznets,SLV24-00,normal,base.bg,,False
l10n_bg.04460,4460,l10n_bg.village,Blaskovtsi,VTR13-00,normal,base.bg,,False
l10n_bg.04474,4474,l10n_bg.village,Boazat,GAB29-00,normal,base.bg,,False
l10n_bg.04488,4488,l10n_bg.village,Bobevtsi,GAB05-00,normal,base.bg,,False
l10n_bg.04491,4491,l10n_bg.village,Bobeshino,KNL29-00,normal,base.bg,,False
l10n_bg.04529,4529,l10n_bg.village,Boboratsi,PER36-00,normal,base.bg,,False
l10n_bg.04546,4546,l10n_bg.village,Bov,SFO43-00,normal,base.bg,,False
l10n_bg.04604,4604,l10n_bg.village,Bogdanlia,SFO17-00,normal,base.bg,,False
l10n_bg.04621,4621,l10n_bg.village,Bogdanovo,BGS06-00,normal,base.bg,,False
l10n_bg.04649,4649,l10n_bg.village,Bogdanovtsi,SFO20-00,normal,base.bg,,False
l10n_bg.04652,4652,l10n_bg.village,Bogdansko,VTR13-01,normal,base.bg,,False
l10n_bg.04683,4683,l10n_bg.village,Bogdanchovtsi,GAB05-00,normal,base.bg,,False
l10n_bg.04697,4697,l10n_bg.village,Bogoyna,PER51-00,normal,base.bg,,False
l10n_bg.04724,4724,l10n_bg.village,Bogomil,HKV33-00,normal,base.bg,,False
l10n_bg.04755,4755,l10n_bg.village,Bogomolsko,TGV02-00,normal,base.bg,,False
l10n_bg.04772,4772,l10n_bg.village,Bogorovo,SLS31-00,normal,base.bg,,False
l10n_bg.04786,4786,l10n_bg.village,Bogorovo,JAM22-00,normal,base.bg,,False
l10n_bg.66322,66322,l10n_bg.village,Bogoroditsa,BLG33-00,normal,base.bg,,False
l10n_bg.04813,4813,l10n_bg.village,Bogyovtsi,SFO26-00,normal,base.bg,,False
l10n_bg.04861,4861,l10n_bg.village,Boevo,SML27-00,normal,base.bg,,False
l10n_bg.04892,4892,l10n_bg.village,Boeritsa,SFO20-00,normal,base.bg,,False
