id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,state_id/id,l10n_bg_municipality_id/id,l10n_bg_structure_type,country_id/id
l10n_bg.00014,00014,l10n_bg.village,Абланица,BLG52-01,l10n_bg.S04279,l10n_bg.77058,cityhall,base.bg
l10n_bg.00028,00028,l10n_bg.village,Абланица,LOV18-01,l10n_bg.S43952,l10n_bg.43952,cityhall,base.bg
l10n_bg.00881,00881,l10n_bg.village,Абланица,PAZ08-01,l10n_bg.S55155,l10n_bg.10450,cityhall,base.bg
l10n_bg.00031,00031,l10n_bg.village,Абрит,DOB20-01,l10n_bg.S72624,l10n_bg.40097,cityhall,base.bg
l10n_bg.00059,00059,l10n_bg.village,Аврамово,BLG53-01,l10n_bg.S04279,l10n_bg.87338,cityhall,base.bg
l10n_bg.00093,00093,l10n_bg.village,Аврен,KRZ15-01,l10n_bg.S40909,l10n_bg.39970,cityhall,base.bg
l10n_bg.00103,00103,l10n_bg.village,Агатово,GAB29-01,l10n_bg.S14218,l10n_bg.65927,cityhall,base.bg
l10n_bg.00895,00895,l10n_bg.village,Айдемир,SLS31-01,l10n_bg.S66425,l10n_bg.66425,cityhall,base.bg
l10n_bg.00148,00148,l10n_bg.village,Айрово,KRZ16-50,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.00165,00165,l10n_bg.village,Аканджиево,PAZ04-07,l10n_bg.S55155,l10n_bg.03592,cityhall,base.bg
l10n_bg.00196,00196,l10n_bg.village,Аламовци,SML11-01,l10n_bg.S67653,l10n_bg.31111,cityhall,base.bg
l10n_bg.00215,00215,l10n_bg.village,Алваново,TGV35-01,l10n_bg.S73626,l10n_bg.73626,cityhall,base.bg
l10n_bg.00223,00223,l10n_bg.village,Алдомировци,SFO45-01,l10n_bg.S68134,l10n_bg.67372,cityhall,base.bg
l10n_bg.00254,00254,l10n_bg.village,Алеко Константиново,PAZ19-01,l10n_bg.S55155,l10n_bg.55155,cityhall,base.bg
l10n_bg.00237,00237,l10n_bg.village,Алеково,VTR28-01,l10n_bg.S10447,l10n_bg.65766,cityhall,base.bg
l10n_bg.00240,00240,l10n_bg.village,Алеково,SLS01-01,l10n_bg.S66425,l10n_bg.00415,cityhall,base.bg
l10n_bg.00285,00285,l10n_bg.village,Александрово,VTR28-02,l10n_bg.S10447,l10n_bg.65766,cityhall,base.bg
l10n_bg.00299,00299,l10n_bg.village,Александрово,LOV18-02,l10n_bg.S43952,l10n_bg.43952,cityhall,base.bg
l10n_bg.00309,00309,l10n_bg.village,Александрово,SZR24-01,l10n_bg.S68850,l10n_bg.55021,cityhall,base.bg
l10n_bg.00312,00312,l10n_bg.village,Александрово,TGV35-02,l10n_bg.S73626,l10n_bg.73626,cityhall,base.bg
l10n_bg.00326,00326,l10n_bg.village,Александрово,HKV34-01,l10n_bg.S77195,l10n_bg.77195,cityhall,base.bg
l10n_bg.00343,00343,l10n_bg.village,Александрово,JAM22-01,l10n_bg.S87374,l10n_bg.69660,cityhall,base.bg
l10n_bg.83421,83421,l10n_bg.village,Алендарова,PAZ08-19,l10n_bg.S55155,l10n_bg.10450,cityhall,base.bg
l10n_bg.00391,00391,l10n_bg.village,Алино,SFO39-01,l10n_bg.S68134,l10n_bg.65231,cityhall,base.bg
l10n_bg.00401,00401,l10n_bg.village,Алтимир,VRC08-01,l10n_bg.S12259,l10n_bg.07702,cityhall,base.bg
l10n_bg.00429,00429,l10n_bg.village,Алцек,DOB15-02,l10n_bg.S72624,l10n_bg.72624,cityhall,base.bg
l10n_bg.00446,00446,l10n_bg.village,Ангел войвода,HKV19-01,l10n_bg.S77195,l10n_bg.48297,cityhall,base.bg
l10n_bg.00432,00432,l10n_bg.village,Ангеларий,DOB27-01,l10n_bg.S72624,l10n_bg.72271,cityhall,base.bg
