id,l10n_bg_code,l10n_bg_structure_type,l10n_bg_ecattu,has_taxoffice,l10n_bg_type_settlement_id/id,zipcode,country_id/id,name,state_id/id
l10n_bg.00084,VAR01-00,Municipality,00084,False,l10n_bg_city.village,,base.bg,Аврен,l10n_bg.S10135
l10n_bg.00151,BGS01-00,Municipality,00151,False,l10n_bg_city.town,,base.bg,Айтос,l10n_bg.S07079
l10n_bg.00182,VAR02-00,Municipality,00182,False,l10n_bg_city.town,,base.bg,Аксаково,l10n_bg.S10135
l10n_bg.00415,SLS01-00,Municipality,00415,False,l10n_bg_city.town,,base.bg,Алфатар,l10n_bg.S66425
l10n_bg.00504,SFO54-00,Municipality,00504,False,l10n_bg_city.village,,base.bg,Антон,l10n_bg.S68134
l10n_bg.00518,TGV02-00,Municipality,00518,False,l10n_bg_city.town,,base.bg,Антоново,l10n_bg.S73626
l10n_bg.52218,LOV02-00,Municipality,52218,False,l10n_bg_city.town,,base.bg,Априлци,l10n_bg.S43952
l10n_bg.00607,KRZ02-00,Municipality,00607,False,l10n_bg_city.town,,base.bg,Ардино,l10n_bg.S40909
l10n_bg.00702,PDV01-00,Municipality,00702,False,l10n_bg_city.town,,base.bg,Асеновград,l10n_bg.S56784
l10n_bg.02508,DOB03-00,Municipality,02508,False,l10n_bg_city.town,,base.bg,Балчик,l10n_bg.S72624
l10n_bg.44402,SML02-00,Municipality,44402,False,l10n_bg_city.village,,base.bg,Баните,l10n_bg.S67653
l10n_bg.02676,BLG01-00,Municipality,02676,False,l10n_bg_city.town,,base.bg,Банско,l10n_bg.S04279
l10n_bg.02837,PAZ03-00,Municipality,02837,False,l10n_bg_city.town,,base.bg,Батак,l10n_bg.S55155
l10n_bg.03366,PVN03-00,Municipality,03366,False,l10n_bg_city.town,,base.bg,Белене,l10n_bg.S56722
l10n_bg.03504,BLG02-00,Municipality,03504,False,l10n_bg_city.town,,base.bg,Белица,l10n_bg.S04279
l10n_bg.03592,PAZ04-00,Municipality,03592,False,l10n_bg_city.town,,base.bg,Белово,l10n_bg.S55155
l10n_bg.03616,VID01-00,Municipality,03616,False,l10n_bg_city.town,,base.bg,Белоградчик,l10n_bg.S10971
l10n_bg.03719,VAR04-00,Municipality,03719,False,l10n_bg_city.town,,base.bg,Белослав,l10n_bg.S10135
l10n_bg.03928,MON02-00,Municipality,03928,False,l10n_bg_city.town,,base.bg,Берковица,l10n_bg.S48489
l10n_bg.04279,BLG03-00,Municipality,04279,True,l10n_bg_city.town,,base.bg,Благоевград,l10n_bg.S04279
l10n_bg.04501,KNL04-00,Municipality,04501,False,l10n_bg_city.town,,base.bg,Бобов дол,l10n_bg.S41112
l10n_bg.04532,KNL05-00,Municipality,04532,False,l10n_bg_city.town,,base.bg,Бобошево,l10n_bg.S41112
l10n_bg.05027,SFO06-00,Municipality,05027,False,l10n_bg_city.town,,base.bg,Божурище,l10n_bg.S68134
l10n_bg.05195,VID03-00,Municipality,05195,False,l10n_bg_city.village,,base.bg,Бойница,l10n_bg.S10971
l10n_bg.05236,MON04-00,Municipality,05236,False,l10n_bg_city.town,,base.bg,Бойчиновци,l10n_bg.S48489
l10n_bg.05284,JAM03-00,Municipality,05284,False,l10n_bg_city.town,,base.bg,Болярово,l10n_bg.S87374
l10n_bg.05462,SML05-00,Municipality,05462,False,l10n_bg_city.village,,base.bg,Борино,l10n_bg.S67653
l10n_bg.05548,VRC05-00,Municipality,05548,False,l10n_bg_city.village,,base.bg,Борован,l10n_bg.S12259
l10n_bg.05611,RSE03-00,Municipality,05611,False,l10n_bg_city.town,,base.bg,Борово,l10n_bg.S63427
