id,code,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name@en_US,name@bg_BG,l10n_bg_city_hall_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id
l10n_bg_city.00014,00014,00014,l10n_bg_city.village,Ablanitsa,Абланица,BLG52-01,cityhall,base.bg,2932,False,l10n_bg_city.S04279,l10n_bg_city.77058,
l10n_bg_city.00028,00028,00028,l10n_bg_city.village,Ablanitsa,Абланица,LOV18-01,cityhall,base.bg,5574,False,l10n_bg_city.S43952,l10n_bg_city.43952,
l10n_bg_city.00881,00881,00881,l10n_bg_city.village,Ablanitsa,Абланица,PAZ08-01,cityhall,base.bg,4645,False,l10n_bg_city.S55155,l10n_bg_city.10450,
l10n_bg_city.00031,00031,00031,l10n_bg_city.village,Abrit,Абрит,DOB20-01,cityhall,base.bg,9407,False,l10n_bg_city.S72624,l10n_bg_city.40097,
l10n_bg_city.00059,00059,00059,l10n_bg_city.village,Avramovo,Аврамово,BLG53-01,cityhall,base.bg,2795,False,l10n_bg_city.S04279,l10n_bg_city.87338,
l10n_bg_city.00093,00093,00093,l10n_bg_city.village,Avren,Аврен,KRZ15-01,cityhall,base.bg,6930,False,l10n_bg_city.S40909,l10n_bg_city.39970,
l10n_bg_city.00103,00103,00103,l10n_bg_city.village,Agatovo,Агатово,GAB29-01,cityhall,base.bg,5431,False,l10n_bg_city.S14218,l10n_bg_city.65927,
l10n_bg_city.00895,00895,00895,l10n_bg_city.village,Aydemir,Айдемир,SLS31-01,cityhall,base.bg,7500,False,l10n_bg_city.S66425,l10n_bg_city.66425,
l10n_bg_city.00148,00148,00148,l10n_bg_city.village,Ayrovo,Айрово,KRZ16-50,cityhall,base.bg,6339,False,l10n_bg_city.S40909,l10n_bg_city.40909,
l10n_bg_city.00165,00165,00165,l10n_bg_city.village,Akandzhievo,Аканджиево,PAZ04-07,cityhall,base.bg,4483,False,l10n_bg_city.S55155,l10n_bg_city.03592,
l10n_bg_city.00196,00196,00196,l10n_bg_city.village,Alamovtsi,Аламовци,SML11-01,cityhall,base.bg,4984,False,l10n_bg_city.S67653,l10n_bg_city.31111,
l10n_bg_city.00215,00215,00215,l10n_bg_city.village,Alvanovo,Алваново,TGV35-01,cityhall,base.bg,7752,False,l10n_bg_city.S73626,l10n_bg_city.73626,
l10n_bg_city.00223,00223,00223,l10n_bg_city.village,Aldomirovtsi,Алдомировци,SFO45-01,cityhall,base.bg,2222,False,l10n_bg_city.S68134,l10n_bg_city.67372,
l10n_bg_city.00254,00254,00254,l10n_bg_city.village,Aleko Konstantinovo,Алеко Константиново,PAZ19-01,cityhall,base.bg,4411,False,l10n_bg_city.S55155,l10n_bg_city.55155,
l10n_bg_city.00237,00237,00237,l10n_bg_city.village,Alekovo,Алеково,VTR28-01,cityhall,base.bg,5288,False,l10n_bg_city.S10447,l10n_bg_city.65766,
l10n_bg_city.00240,00240,00240,l10n_bg_city.village,Alekovo,Алеково,SLS01-01,cityhall,base.bg,7555,False,l10n_bg_city.S66425,l10n_bg_city.00415,
l10n_bg_city.00285,00285,00285,l10n_bg_city.village,Aleksandrovo,Александрово,VTR28-02,cityhall,base.bg,5289,False,l10n_bg_city.S10447,l10n_bg_city.65766,
l10n_bg_city.00299,00299,00299,l10n_bg_city.village,Aleksandrovo,Александрово,LOV18-02,cityhall,base.bg,5560,False,l10n_bg_city.S43952,l10n_bg_city.43952,
l10n_bg_city.00309,00309,00309,l10n_bg_city.village,Aleksandrovo,Александрово,SZR24-01,cityhall,base.bg,6154,False,l10n_bg_city.S68850,l10n_bg_city.55021,
l10n_bg_city.00312,00312,00312,l10n_bg_city.village,Aleksandrovo,Александрово,TGV35-02,cityhall,base.bg,7761,False,l10n_bg_city.S73626,l10n_bg_city.73626,
l10n_bg_city.00326,00326,00326,l10n_bg_city.village,Aleksandrovo,Александрово,HKV34-01,cityhall,base.bg,6351,False,l10n_bg_city.S77195,l10n_bg_city.77195,
l10n_bg_city.00343,00343,00343,l10n_bg_city.village,Aleksandrovo,Александрово,JAM22-01,cityhall,base.bg,8653,False,l10n_bg_city.S87374,l10n_bg_city.69660,
l10n_bg_city.83421,83421,83421,l10n_bg_city.village,Alendarova,Алендарова,PAZ08-19,cityhall,base.bg,4621,False,l10n_bg_city.S55155,l10n_bg_city.10450,
