id,code,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name@en_US,name@bg_BG,l10n_bg_city_hall_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id
l10n_bg_city.00062,00062,00062,l10n_bg_city.village,Avramovo,Аврамово,KRZ02-19,normal,base.bg,6797,False,l10n_bg_city.S40909,l10n_bg_city.00607,l10n_bg_city.63402
l10n_bg_city.00117,00117,00117,l10n_bg_city.village,Azmanite,Азманите,GAB35-00,normal,base.bg,5350,False,l10n_bg_city.S14218,l10n_bg_city.73403,
l10n_bg_city.00179,00179,00179,l10n_bg_city.village,Akatsievo,Акациево,VID09-00,normal,base.bg,3727,False,l10n_bg_city.S10971,l10n_bg_city.10971,
l10n_bg_city.00206,00206,00206,l10n_bg_city.village,Albantsi,Албанци,KRZ08-17,normal,base.bg,6850,False,l10n_bg_city.S40909,l10n_bg_city.20746,l10n_bg_city.72211
l10n_bg_city.00268,00268,00268,l10n_bg_city.village,Aleksandria,Александрия,DOB20-00,normal,base.bg,9404,False,l10n_bg_city.S72624,l10n_bg_city.40097,
l10n_bg_city.00271,00271,00271,l10n_bg_city.village,Aleksandrovo,Александрово,BGS17-00,normal,base.bg,8211,False,l10n_bg_city.S07079,l10n_bg_city.57491,
l10n_bg_city.00330,00330,00330,l10n_bg_city.village,Aleksandrovo,Александрово,SHU25-00,normal,base.bg,9829,False,l10n_bg_city.S83510,l10n_bg_city.67708,
l10n_bg_city.00360,00360,00360,l10n_bg_city.village,Aleksandar Stamboliyski,Александър Стамболийски,DOB12-00,normal,base.bg,9565,False,l10n_bg_city.S72624,l10n_bg_city.14711,
l10n_bg_city.00388,00388,00388,l10n_bg_city.village,Aligovska,Алиговска,SML31-01,normal,base.bg,4787,False,l10n_bg_city.S67653,l10n_bg_city.67653,l10n_bg_city.00597
l10n_bg_city.00456,00456,00456,l10n_bg_city.village,Angelov,Ангелов,GAB05-09,normal,base.bg,5342,False,l10n_bg_city.S14218,l10n_bg_city.14218,l10n_bg_city.22959
l10n_bg_city.00494,00494,00494,l10n_bg_city.village,Antimovo,Антимово,SLS34-00,normal,base.bg,7628,False,l10n_bg_city.S66425,l10n_bg_city.73496,
l10n_bg_city.00521,00521,00521,l10n_bg_city.village,Aplatsi,Аплаци,VTR13-00,normal,base.bg,5094,False,l10n_bg_city.S10447,l10n_bg_city.27190,
l10n_bg_city.00610,00610,00610,l10n_bg_city.village,Arzan,Арзан,PER08-00,normal,base.bg,2386,False,l10n_bg_city.S55871,l10n_bg_city.06286,
l10n_bg_city.00624,00624,00624,l10n_bg_city.village,Arkovna,Арковна,VAR16-00,normal,base.bg,9246,False,l10n_bg_city.S10135,l10n_bg_city.24565,
l10n_bg_city.00638,00638,00638,l10n_bg_city.village,Armenite,Армените,GAB05-00,normal,base.bg,5348,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.00641,00641,00641,l10n_bg_city.village,Armyankovtsi,Армянковци,GAB35-00,normal,base.bg,5363,False,l10n_bg_city.S14218,l10n_bg_city.73403,
l10n_bg_city.00669,00669,00669,l10n_bg_city.village,Arpadzhik,Арпаджик,SML16-00,normal,base.bg,4922,False,l10n_bg_city.S67653,l10n_bg_city.46045,
l10n_bg_city.00758,00758,00758,l10n_bg_city.village,Asenovo,Асеново,JAM25-00,normal,base.bg,8667,False,l10n_bg_city.S87374,l10n_bg_city.87374,
l10n_bg_city.02035,02035,02035,l10n_bg_city.village,Babek,Бабек,PDV07-00,normal,base.bg,4156,False,l10n_bg_city.S56784,l10n_bg_city.06361,
l10n_bg_city.02052,02052,02052,l10n_bg_city.village,Babinska reka,Бабинска река,KNL04-00,normal,base.bg,2668,False,l10n_bg_city.S41112,l10n_bg_city.04501,
l10n_bg_city.02066,02066,02066,l10n_bg_city.village,Babitsa,Бабица,PER08-00,normal,base.bg,2365,False,l10n_bg_city.S55871,l10n_bg_city.06286,
l10n_bg_city.02076,02076,02076,l10n_bg_city.village,Bablon,Баблон,SML31-30,normal,base.bg,4774,False,l10n_bg_city.S67653,l10n_bg_city.67653,l10n_bg_city.67547
l10n_bg_city.02110,02110,02110,l10n_bg_city.village,Bagalevtsi,Багалевци,VTR13-00,normal,base.bg,5094,False,l10n_bg_city.S10447,l10n_bg_city.27190,
l10n_bg_city.02169,02169,02169,l10n_bg_city.village,Badevtsi,Бадевци,VTR13-00,normal,base.bg,5093,False,l10n_bg_city.S10447,l10n_bg_city.27190,
l10n_bg_city.02172,02172,02172,l10n_bg_city.village,Badino,Бадино,KNL05-00,normal,base.bg,2676,False,l10n_bg_city.S41112,l10n_bg_city.04532,
l10n_bg_city.02191,02191,02191,l10n_bg_city.village,Baevtsi,Баевци,VTR13-00,normal,base.bg,5087,False,l10n_bg_city.S10447,l10n_bg_city.27190,
l10n_bg_city.02207,02207,02207,l10n_bg_city.village,Baevtsi,Баевци,GAB05-00,normal,base.bg,5300,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.02213,02213,02213,l10n_bg_city.village,Bazhdari,Баждари,VTR13-00,normal,base.bg,5095,False,l10n_bg_city.S10447,l10n_bg_city.27190,
l10n_bg_city.02230,02230,02230,l10n_bg_city.village,Baykalsko,Байкалско,PER36-00,normal,base.bg,2427,False,l10n_bg_city.S55871,l10n_bg_city.61577,
l10n_bg_city.02289,02289,02289,l10n_bg_city.village,Bakyovo,Бакьово,SFO43-00,normal,base.bg,2295,False,l10n_bg_city.S68134,l10n_bg_city.65869,
l10n_bg_city.02302,02302,02302,l10n_bg_city.village,Balabansko,Балабанско,LOV34-00,normal,base.bg,5615,False,l10n_bg_city.S43952,l10n_bg_city.73198,
l10n_bg_city.02333,02333,02333,l10n_bg_city.village,Balaleya,Балалея,GAB12-00,normal,base.bg,5370,False,l10n_bg_city.S14218,l10n_bg_city.23947,
l10n_bg_city.02347,02347,02347,l10n_bg_city.village,Balanite,Баланите,GAB05-00,normal,base.bg,5300,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.02378,02378,02378,l10n_bg_city.village,Balvantsite,Балванците,GAB12-00,normal,base.bg,5388,False,l10n_bg_city.S14218,l10n_bg_city.23947,
l10n_bg_city.02419,02419,02419,l10n_bg_city.village,Balinovtsi,Балиновци,GAB05-09,normal,base.bg,5343,False,l10n_bg_city.S14218,l10n_bg_city.14218,l10n_bg_city.22959
l10n_bg_city.02453,02453,02453,l10n_bg_city.village,Balkan mahala,Балкан махала,PDV15-00,normal,base.bg,4874,False,l10n_bg_city.S56784,l10n_bg_city.44478,
l10n_bg_city.02484,02484,02484,l10n_bg_city.village,Balkantsi,Балканци,DOB12-00,normal,base.bg,9549,False,l10n_bg_city.S72624,l10n_bg_city.14711,
l10n_bg_city.02498,02498,02498,l10n_bg_city.village,Balutsi,Балуци,VTR13-00,normal,base.bg,5081,False,l10n_bg_city.S10447,l10n_bg_city.27190,
l10n_bg_city.02539,02539,02539,l10n_bg_city.village,Balyovtsi,Бальовци,SFO20-06,normal,base.bg,2060,False,l10n_bg_city.S68134,l10n_bg_city.32901,l10n_bg_city.10029
l10n_bg_city.02542,02542,02542,l10n_bg_city.village,Balyuvitsa,Балювица,MON02-00,normal,base.bg,3529,False,l10n_bg_city.S48489,l10n_bg_city.03928,
l10n_bg_city.02556,02556,02556,l10n_bg_city.village,Banari,Банари,GAB12-00,normal,base.bg,5370,False,l10n_bg_city.S14218,l10n_bg_city.23947,
l10n_bg_city.02563,02563,02563,l10n_bg_city.village,Bangeytsi,Бангейци,GAB35-00,normal,base.bg,5358,False,l10n_bg_city.S14218,l10n_bg_city.73403,
l10n_bg_city.02614,02614,02614,l10n_bg_city.village,Banishte,Банище,PER08-00,normal,base.bg,2388,False,l10n_bg_city.S55871,l10n_bg_city.06286,
l10n_bg_city.02628,02628,02628,l10n_bg_city.village,Bankovets,Банковец,TGV02-00,normal,base.bg,7997,False,l10n_bg_city.S73626,l10n_bg_city.00518,
l10n_bg_city.02631,02631,02631,l10n_bg_city.village,Bankovtsi,Банковци,GAB05-00,normal,base.bg,5300,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.02645,02645,02645,l10n_bg_city.village,Bankya,Банкя,PER51-00,normal,base.bg,2466,False,l10n_bg_city.S55871,l10n_bg_city.73273,
l10n_bg_city.02659,02659,02659,l10n_bg_city.town,Bankya,Банкя,SOF46-00,normal,base.bg,1320,False,l10n_bg_city.S68134,l10n_bg_city.68134,
l10n_bg_city.02662,02662,02662,l10n_bg_city.village,Banovo,Баново,VAR26-00,normal,base.bg,9148,False,l10n_bg_city.S10135,l10n_bg_city.70175,
l10n_bg_city.02689,02689,02689,l10n_bg_city.village,Banchovtsi,Банчовци,SFO20-00,normal,base.bg,2060,False,l10n_bg_city.S68134,l10n_bg_city.32901,
l10n_bg_city.02806,02806,02806,l10n_bg_city.village,Baskaltsi,Баскалци,BLG33-00,normal,base.bg,2883,False,l10n_bg_city.S04279,l10n_bg_city.56126,
l10n_bg_city.02899,02899,02899,l10n_bg_city.village,Batulia,Батулия,SFO43-00,normal,base.bg,2295,False,l10n_bg_city.S68134,l10n_bg_city.65869,
l10n_bg_city.02926,02926,02926,l10n_bg_city.village,Bahalin,Бахалин,SFO45-00,normal,base.bg,2219,False,l10n_bg_city.S68134,l10n_bg_city.67372,
l10n_bg_city.02943,02943,02943,l10n_bg_city.village,Bahretsi,Бахреци,GAB35-00,normal,base.bg,5367,False,l10n_bg_city.S14218,l10n_bg_city.73403,
l10n_bg_city.03023,03023,03023,l10n_bg_city.village,Bashtino,Бащино,SZR23-00,normal,base.bg,6068,False,l10n_bg_city.S68850,l10n_bg_city.53576,
l10n_bg_city.03040,03040,03040,l10n_bg_city.village,Bdintsi,Бдинци,DOB15-00,normal,base.bg,9381,False,l10n_bg_city.S72624,l10n_bg_city.72624,
l10n_bg_city.03126,03126,03126,l10n_bg_city.village,Bedzhene,Беджене,SHU22-00,normal,base.bg,9924,False,l10n_bg_city.S83510,l10n_bg_city.52009,
l10n_bg_city.03157,03157,03157,l10n_bg_city.village,Bezhanovo,Бежаново,DOB12-00,normal,base.bg,9567,False,l10n_bg_city.S72624,l10n_bg_city.14711,
l10n_bg_city.03188,03188,03188,l10n_bg_city.village,Bezvodno,Безводно,KRZ35-00,normal,base.bg,6718,False,l10n_bg_city.S40909,l10n_bg_city.81236,
l10n_bg_city.03232,03232,03232,l10n_bg_city.village,Beykovtsi,Бейковци,VTR13-00,normal,base.bg,5094,False,l10n_bg_city.S10447,l10n_bg_city.27190,
l10n_bg_city.03246,03246,03246,l10n_bg_city.village,Bekriite,Бекриите,GAB05-00,normal,base.bg,5300,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.03263,03263,03263,l10n_bg_city.village,Bela,Бела,VID16-00,normal,base.bg,3759,False,l10n_bg_city.S10971,l10n_bg_city.21097,
l10n_bg_city.03277,03277,03277,l10n_bg_city.village,Belanitsa,Беланица,PER36-00,normal,base.bg,2453,False,l10n_bg_city.S55871,l10n_bg_city.61577,
l10n_bg_city.03321,03321,03321,l10n_bg_city.village,Belev dol,Белев дол,SML31-00,normal,base.bg,4738,False,l10n_bg_city.S67653,l10n_bg_city.67653,
l10n_bg_city.03335,03335,03335,l10n_bg_city.village,Belevehchevo,Белевехчево,BLG40-00,normal,base.bg,2800,False,l10n_bg_city.S04279,l10n_bg_city.65334,
l10n_bg_city.03349,03349,03349,l10n_bg_city.village,Belevren,Белеврен,BGS06-00,normal,base.bg,8345,False,l10n_bg_city.S07079,l10n_bg_city.17974,
l10n_bg_city.03383,03383,03383,l10n_bg_city.village,Beli breg,Бели брег,MON04-00,normal,base.bg,3441,False,l10n_bg_city.S48489,l10n_bg_city.05236,
l10n_bg_city.03407,03407,03407,l10n_bg_city.village,Beli bryag,Бели бряг,SZR27-00,normal,base.bg,6262,False,l10n_bg_city.S68850,l10n_bg_city.61460,
l10n_bg_city.03424,03424,03424,l10n_bg_city.village,Beli dol,Бели дол,HKV11-04,normal,base.bg,6990,False,l10n_bg_city.S77195,l10n_bg_city.32024,l10n_bg_city.18054
l10n_bg_city.03455,03455,03455,l10n_bg_city.village,Belila,Белила,BGS06-00,normal,base.bg,8316,False,l10n_bg_city.S07079,l10n_bg_city.17974,
l10n_bg_city.03513,03513,03513,l10n_bg_city.village,Belitsa,Белица,GAB35-00,normal,base.bg,5363,False,l10n_bg_city.S14218,l10n_bg_city.73403,
l10n_bg_city.07960,07960,07960,l10n_bg_city.village,Belitsa,Белица,SFO20-00,normal,base.bg,2062,False,l10n_bg_city.S68134,l10n_bg_city.32901,
l10n_bg_city.03650,03650,03650,l10n_bg_city.village,Belomazhite,Беломъжите,GAB05-00,normal,base.bg,5340,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.03753,03753,03753,l10n_bg_city.village,Belchevtsi,Белчевци,VTR04-09,normal,base.bg,5035,False,l10n_bg_city.S10447,l10n_bg_city.10447,l10n_bg_city.12098
l10n_bg_city.03770,03770,03770,l10n_bg_city.village,Belchinski bani,Белчински бани,SFO39-03,normal,base.bg,2024,False,l10n_bg_city.S68134,l10n_bg_city.65231,l10n_bg_city.03767
l10n_bg_city.03784,03784,03784,l10n_bg_city.village,Belyovo,Бельово,BLG40-00,normal,base.bg,2824,False,l10n_bg_city.S04279,l10n_bg_city.65334,
l10n_bg_city.03842,03842,03842,l10n_bg_city.village,Benkovski,Бенковски,SFO56-00,normal,base.bg,2096,False,l10n_bg_city.S68134,l10n_bg_city.48324,
l10n_bg_city.03856,03856,03856,l10n_bg_city.village,Benkovski,Бенковски,SZR31-00,normal,base.bg,6056,False,l10n_bg_city.S68850,l10n_bg_city.68850,
l10n_bg_city.03873,03873,03873,l10n_bg_city.village,Berayntsi,Берайнци,PER51-00,normal,base.bg,2488,False,l10n_bg_city.S55871,l10n_bg_city.73273,
l10n_bg_city.03887,03887,03887,l10n_bg_city.village,Berende,Беренде,PER19-00,normal,base.bg,2335,False,l10n_bg_city.S55871,l10n_bg_city.30778,
l10n_bg_city.03890,03890,03890,l10n_bg_city.village,Berende,Беренде,SFO16-00,normal,base.bg,2212,False,l10n_bg_city.S68134,l10n_bg_city.23409,
l10n_bg_city.03900,03900,03900,l10n_bg_city.village,Berende izvor,Беренде извор,SFO16-00,normal,base.bg,2212,False,l10n_bg_city.S68134,l10n_bg_city.23409,
l10n_bg_city.03931,03931,03931,l10n_bg_city.village,Berkovski,Берковски,TGV24-00,normal,base.bg,7857,False,l10n_bg_city.S73626,l10n_bg_city.57649,
l10n_bg_city.03945,03945,03945,l10n_bg_city.village,Berkovtsi,Берковци,VTR13-00,normal,base.bg,5093,False,l10n_bg_city.S10447,l10n_bg_city.27190,
l10n_bg_city.03959,03959,03959,l10n_bg_city.village,Beronovo,Бероново,BGS23-00,normal,base.bg,8448,False,l10n_bg_city.S07079,l10n_bg_city.70247,
l10n_bg_city.03986,03986,03986,l10n_bg_city.village,Besnurka,Беснурка,KRZ35-36,normal,base.bg,6698,False,l10n_bg_city.S40909,l10n_bg_city.81236,l10n_bg_city.80830
l10n_bg_city.04011,04011,04011,l10n_bg_city.village,Bizhovtsi,Бижовци,VTR04-00,normal,base.bg,5035,False,l10n_bg_city.S10447,l10n_bg_city.10447,
l10n_bg_city.04025,04025,04025,l10n_bg_city.village,Bizhovtsi,Бижовци,GAB35-00,normal,base.bg,5350,False,l10n_bg_city.S14218,l10n_bg_city.73403,
l10n_bg_city.04042,04042,04042,l10n_bg_city.village,Bilintsi,Билинци,PER08-00,normal,base.bg,2385,False,l10n_bg_city.S55871,l10n_bg_city.06286,
l10n_bg_city.04068,04068,04068,l10n_bg_city.village,Bilkini,Билкини,GAB12-00,normal,base.bg,5370,False,l10n_bg_city.S14218,l10n_bg_city.23947,
l10n_bg_city.04090,04090,04090,l10n_bg_city.village,Bilo,Било,DOB17-00,normal,base.bg,9691,False,l10n_bg_city.S72624,l10n_bg_city.35064,
l10n_bg_city.04100,04100,04100,l10n_bg_city.village,Bilyanska,Билянска,SML31-00,normal,base.bg,4789,False,l10n_bg_city.S67653,l10n_bg_city.67653,
l10n_bg_city.04176,04176,04176,l10n_bg_city.village,Bistrets,Бистрец,BGS06-00,normal,base.bg,8334,False,l10n_bg_city.S07079,l10n_bg_city.17974,
l10n_bg_city.04323,04323,04323,l10n_bg_city.village,Blatets,Блатец,KNL29-00,normal,base.bg,2548,False,l10n_bg_city.S41112,l10n_bg_city.41112,
l10n_bg_city.04340,04340,04340,l10n_bg_city.village,Blateshnitsa,Блатешница,PER19-00,normal,base.bg,2441,False,l10n_bg_city.S55871,l10n_bg_city.30778,
l10n_bg_city.04371,04371,04371,l10n_bg_city.village,Blato,Блато,KNL04-00,normal,base.bg,2657,False,l10n_bg_city.S41112,l10n_bg_city.04501,
l10n_bg_city.04412,04412,04412,l10n_bg_city.village,Bliznak,Близнак,BGS12-00,normal,base.bg,8365,False,l10n_bg_city.S07079,l10n_bg_city.46663,
l10n_bg_city.04443,04443,04443,l10n_bg_city.village,Bliznets,Близнец,SLV24-00,normal,base.bg,8925,False,l10n_bg_city.S67338,l10n_bg_city.72165,
l10n_bg_city.04460,04460,04460,l10n_bg_city.village,Blaskovtsi,Блъсковци,VTR13-00,normal,base.bg,5078,False,l10n_bg_city.S10447,l10n_bg_city.27190,
l10n_bg_city.04474,04474,04474,l10n_bg_city.village,Boazat,Боазът,GAB29-00,normal,base.bg,5453,False,l10n_bg_city.S14218,l10n_bg_city.65927,
l10n_bg_city.04488,04488,04488,l10n_bg_city.village,Bobevtsi,Бобевци,GAB05-00,normal,base.bg,5300,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.04491,04491,04491,l10n_bg_city.village,Bobeshino,Бобешино,KNL29-00,normal,base.bg,2567,False,l10n_bg_city.S41112,l10n_bg_city.41112,
l10n_bg_city.04529,04529,04529,l10n_bg_city.village,Boboratsi,Бобораци,PER36-00,normal,base.bg,2554,False,l10n_bg_city.S55871,l10n_bg_city.61577,
l10n_bg_city.04546,04546,04546,l10n_bg_city.village,Bov,Бов,SFO43-00,normal,base.bg,2270,False,l10n_bg_city.S68134,l10n_bg_city.65869,
l10n_bg_city.04604,04604,04604,l10n_bg_city.village,Bogdanlia,Богданлия,SFO17-00,normal,base.bg,2116,False,l10n_bg_city.S68134,l10n_bg_city.27303,
l10n_bg_city.04621,04621,04621,l10n_bg_city.village,Bogdanovo,Богданово,BGS06-00,normal,base.bg,8337,False,l10n_bg_city.S07079,l10n_bg_city.17974,
l10n_bg_city.04649,04649,04649,l10n_bg_city.village,Bogdanovtsi,Богдановци,SFO20-00,normal,base.bg,2060,False,l10n_bg_city.S68134,l10n_bg_city.32901,
l10n_bg_city.04652,04652,04652,l10n_bg_city.village,Bogdansko,Богданско,VTR13-01,normal,base.bg,5084,False,l10n_bg_city.S10447,l10n_bg_city.27190,l10n_bg_city.03054
l10n_bg_city.04683,04683,04683,l10n_bg_city.village,Bogdanchovtsi,Богданчовци,GAB05-00,normal,base.bg,5300,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.04697,04697,04697,l10n_bg_city.village,Bogoyna,Богойна,PER51-00,normal,base.bg,2467,False,l10n_bg_city.S55871,l10n_bg_city.73273,
l10n_bg_city.04724,04724,04724,l10n_bg_city.village,Bogomil,Богомил,HKV33-00,normal,base.bg,6460,False,l10n_bg_city.S77195,l10n_bg_city.77181,
l10n_bg_city.04755,04755,04755,l10n_bg_city.village,Bogomolsko,Богомолско,TGV02-00,normal,base.bg,7997,False,l10n_bg_city.S73626,l10n_bg_city.00518,
l10n_bg_city.04772,04772,04772,l10n_bg_city.village,Bogorovo,Богорово,SLS31-00,normal,base.bg,7542,False,l10n_bg_city.S66425,l10n_bg_city.66425,
l10n_bg_city.04786,04786,04786,l10n_bg_city.village,Bogorovo,Богорово,JAM22-00,normal,base.bg,8687,False,l10n_bg_city.S87374,l10n_bg_city.69660,
l10n_bg_city.66322,66322,66322,l10n_bg_city.village,Bogoroditsa,Богородица,BLG33-00,normal,base.bg,2876,False,l10n_bg_city.S04279,l10n_bg_city.56126,
l10n_bg_city.04813,04813,04813,l10n_bg_city.village,Bogyovtsi,Богьовци,SFO26-00,normal,base.bg,2255,False,l10n_bg_city.S68134,l10n_bg_city.38978,
l10n_bg_city.04861,04861,04861,l10n_bg_city.village,Boevo,Боево,SML27-00,normal,base.bg,4964,False,l10n_bg_city.S67653,l10n_bg_city.63207,
l10n_bg_city.04892,04892,04892,l10n_bg_city.village,Boeritsa,Боерица,SFO20-00,normal,base.bg,2066,False,l10n_bg_city.S68134,l10n_bg_city.32901,
l10n_bg_city.04927,04927,04927,l10n_bg_city.village,Bozhanovo,Божаново,DOB29-00,normal,base.bg,9677,False,l10n_bg_city.S72624,l10n_bg_city.83017,
l10n_bg_city.04933,04933,04933,l10n_bg_city.village,Bozhdovo,Бождово,BLG40-00,normal,base.bg,2811,False,l10n_bg_city.S04279,l10n_bg_city.65334,
l10n_bg_city.04950,04950,04950,l10n_bg_city.village,Bozhenitsa,Боженица,SFO07-00,normal,base.bg,2157,False,l10n_bg_city.S68134,l10n_bg_city.05815,
l10n_bg_city.04964,04964,04964,l10n_bg_city.village,Bozhentsite,Боженците,GAB05-00,normal,base.bg,5349,False,l10n_bg_city.S14218,l10n_bg_city.14218,
l10n_bg_city.04981,04981,04981,l10n_bg_city.village,Bozhichen,Божичен,RSE13-00,normal,base.bg,7089,False,l10n_bg_city.S63427,l10n_bg_city.32095,
l10n_bg_city.05009,05009,05009,l10n_bg_city.village,Bozhurets,Божурец,DOB17-00,normal,base.bg,9656,False,l10n_bg_city.S72624,l10n_bg_city.35064,
l10n_bg_city.05044,05044,05044,l10n_bg_city.village,Bozhurluk,Божурлук,PVN16-00,normal,base.bg,5931,False,l10n_bg_city.S56722,l10n_bg_city.43236,
l10n_bg_city.05092,05092,05092,l10n_bg_city.village,Bozadzhii,Бозаджии,SLV20-00,normal,base.bg,8872,False,l10n_bg_city.S67338,l10n_bg_city.67338,
