id,code,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name@en_US,name@bg_BG,l10n_bg_city_hall_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id
l10n_bg_city.00084,00084,00084,l10n_bg_city.village,Avren,Аврен,VAR01-00,municipality,base.bg,9140,False,l10n_bg_city.S10135,,
l10n_bg_city.00151,00151,00151,l10n_bg_city.town,Aytos,Айтос,BGS01-00,municipality,base.bg,8500,False,l10n_bg_city.S07079,,
l10n_bg_city.00182,00182,00182,l10n_bg_city.town,Aksakovo,Аксаково,VAR02-00,municipality,base.bg,9154,False,l10n_bg_city.S10135,,
l10n_bg_city.00415,00415,00415,l10n_bg_city.town,Alfatar,Алфатар,SLS01-00,municipality,base.bg,7570,False,l10n_bg_city.S66425,,
l10n_bg_city.00504,00504,00504,l10n_bg_city.village,Anton,Антон,SFO54-00,municipality,base.bg,2089,False,l10n_bg_city.S68134,,
l10n_bg_city.00518,00518,00518,l10n_bg_city.town,Antonovo,Антоново,TGV02-00,municipality,base.bg,7970,False,l10n_bg_city.S73626,,
l10n_bg_city.52218,52218,52218,l10n_bg_city.town,Apriltsi,Априлци,LOV02-00,municipality,base.bg,5635,False,l10n_bg_city.S43952,,
l10n_bg_city.00607,00607,00607,l10n_bg_city.town,Ardino,Ардино,KRZ02-00,municipality,base.bg,6750,False,l10n_bg_city.S40909,,
l10n_bg_city.00702,00702,00702,l10n_bg_city.town,Asenovgrad,Асеновград,PDV01-00,municipality,base.bg,4230,False,l10n_bg_city.S56784,,
l10n_bg_city.02508,02508,02508,l10n_bg_city.town,Balchik,Балчик,DOB03-00,municipality,base.bg,9600,False,l10n_bg_city.S72624,,
l10n_bg_city.44402,44402,44402,l10n_bg_city.village,Banite,Баните,SML02-00,municipality,base.bg,4940,False,l10n_bg_city.S67653,,
l10n_bg_city.02676,02676,02676,l10n_bg_city.town,Bansko,Банско,BLG01-00,municipality,base.bg,2770,False,l10n_bg_city.S04279,,
l10n_bg_city.02837,02837,02837,l10n_bg_city.town,Batak,Батак,PAZ03-00,municipality,base.bg,4580,False,l10n_bg_city.S55155,,
l10n_bg_city.03366,03366,03366,l10n_bg_city.town,Belene,Белене,PVN03-00,municipality,base.bg,5930,False,l10n_bg_city.S56722,,
l10n_bg_city.03504,03504,03504,l10n_bg_city.town,Belitsa,Белица,BLG02-00,municipality,base.bg,2780,False,l10n_bg_city.S04279,,
l10n_bg_city.03592,03592,03592,l10n_bg_city.town,Belovo,Белово,PAZ04-00,municipality,base.bg,4470,False,l10n_bg_city.S55155,,
l10n_bg_city.03616,03616,03616,l10n_bg_city.town,Belogradchik,Белоградчик,VID01-00,municipality,base.bg,3900,False,l10n_bg_city.S10971,,
l10n_bg_city.03719,03719,03719,l10n_bg_city.town,Beloslav,Белослав,VAR04-00,municipality,base.bg,9150,False,l10n_bg_city.S10135,,
l10n_bg_city.03928,03928,03928,l10n_bg_city.town,Berkovitsa,Берковица,MON02-00,municipality,base.bg,3500,False,l10n_bg_city.S48489,,
l10n_bg_city.04279,04279,04279,l10n_bg_city.town,Blagoevgrad,Благоевград,BLG03-00,municipality,base.bg,2700,True,l10n_bg_city.S04279,,
l10n_bg_city.04501,04501,04501,l10n_bg_city.town,Bobov dol,Бобов дол,KNL04-00,municipality,base.bg,2670,False,l10n_bg_city.S41112,,
l10n_bg_city.04532,04532,04532,l10n_bg_city.town,Boboshevo,Бобошево,KNL05-00,municipality,base.bg,2660,False,l10n_bg_city.S41112,,
l10n_bg_city.05027,05027,05027,l10n_bg_city.town,Bozhurishte,Божурище,SFO06-00,municipality,base.bg,2227,False,l10n_bg_city.S68134,,
l10n_bg_city.05195,05195,05195,l10n_bg_city.village,Boynitsa,Бойница,VID03-00,municipality,base.bg,3840,False,l10n_bg_city.S10971,,
l10n_bg_city.05236,05236,05236,l10n_bg_city.town,Boychinovtsi,Бойчиновци,MON04-00,municipality,base.bg,3480,False,l10n_bg_city.S48489,,
l10n_bg_city.05284,05284,05284,l10n_bg_city.town,Bolyarovo,Болярово,JAM03-00,municipality,base.bg,8720,False,l10n_bg_city.S87374,,
l10n_bg_city.05462,05462,05462,l10n_bg_city.village,Borino,Борино,SML05-00,municipality,base.bg,4824,False,l10n_bg_city.S67653,,
l10n_bg_city.05548,05548,05548,l10n_bg_city.village,Borovan,Борован,VRC05-00,municipality,base.bg,3240,False,l10n_bg_city.S12259,,
l10n_bg_city.05611,05611,05611,l10n_bg_city.town,Borovo,Борово,RSE03-00,municipality,base.bg,7174,False,l10n_bg_city.S63427,,
l10n_bg_city.05815,05815,05815,l10n_bg_city.town,Botevgrad,Ботевград,SFO07-00,municipality,base.bg,2140,False,l10n_bg_city.S68134,,
l10n_bg_city.06183,06183,06183,l10n_bg_city.village,Bratya Daskalovi,Братя Даскалови,SZR04-00,municipality,base.bg,6250,False,l10n_bg_city.S68850,,
l10n_bg_city.06207,06207,06207,l10n_bg_city.town,Bratsigovo,Брацигово,PAZ06-00,municipality,base.bg,4679,False,l10n_bg_city.S55155,,
l10n_bg_city.06224,06224,06224,l10n_bg_city.town,Bregovo,Брегово,VID06-00,municipality,base.bg,3790,False,l10n_bg_city.S10971,,
l10n_bg_city.06286,06286,06286,l10n_bg_city.town,Breznik,Брезник,PER08-00,municipality,base.bg,2360,False,l10n_bg_city.S55871,,
l10n_bg_city.06361,06361,06361,l10n_bg_city.town,Brezovo,Брезово,PDV07-00,municipality,base.bg,4160,False,l10n_bg_city.S56784,,
l10n_bg_city.06570,06570,06570,l10n_bg_city.town,Brusartsi,Брусарци,MON07-00,municipality,base.bg,3680,False,l10n_bg_city.S48489,,
l10n_bg_city.07079,07079,07079,l10n_bg_city.town,Burgas,Бургас,BGS04-00,municipality,base.bg,8000,True,l10n_bg_city.S07079,,
l10n_bg_city.07598,07598,07598,l10n_bg_city.town,Byala,Бяла,VAR05-00,municipality,base.bg,9101,False,l10n_bg_city.S10135,,
l10n_bg_city.07603,07603,07603,l10n_bg_city.town,Byala,Бяла,RSE04-00,municipality,base.bg,7100,False,l10n_bg_city.S63427,,
l10n_bg_city.07702,07702,07702,l10n_bg_city.town,Byala Slatina,Бяла Слатина,VRC08-00,municipality,base.bg,3200,False,l10n_bg_city.S12259,,
l10n_bg_city.10135,10135,10135,l10n_bg_city.town,Varna,Варна,VAR06-00,municipality,base.bg,9000,True,l10n_bg_city.S10135,,
l10n_bg_city.58222,58222,58222,l10n_bg_city.town,Veliki Preslav,Велики Преслав,SHU23-00,municipality,base.bg,9850,False,l10n_bg_city.S83510,,
l10n_bg_city.10447,10447,10447,l10n_bg_city.town,Veliko Tarnovo,Велико Търново,VTR04-00,municipality,base.bg,5000,True,l10n_bg_city.S10447,,
l10n_bg_city.10450,10450,10450,l10n_bg_city.town,Velingrad,Велинград,PAZ08-00,municipality,base.bg,4600,False,l10n_bg_city.S55155,,
l10n_bg_city.10642,10642,10642,l10n_bg_city.village,Venets,Венец,SHU07-00,municipality,base.bg,9751,False,l10n_bg_city.S83510,,
l10n_bg_city.10803,10803,10803,l10n_bg_city.town,Vetovo,Ветово,RSE05-00,municipality,base.bg,7080,False,l10n_bg_city.S63427,,
l10n_bg_city.10865,10865,10865,l10n_bg_city.village,Vetrino,Ветрино,VAR08-00,municipality,base.bg,9220,False,l10n_bg_city.S10135,,
l10n_bg_city.10971,10971,10971,l10n_bg_city.town,Vidin,Видин,VID09-00,municipality,base.bg,3700,True,l10n_bg_city.S10971,,
l10n_bg_city.12259,12259,12259,l10n_bg_city.town,Vratsa,Враца,VRC10-00,municipality,base.bg,3000,True,l10n_bg_city.S12259,,
l10n_bg_city.12543,12543,12543,l10n_bg_city.town,Valchedram,Вълчедръм,MON11-00,municipality,base.bg,3650,False,l10n_bg_city.S48489,,
l10n_bg_city.12574,12574,12574,l10n_bg_city.town,Valchi dol,Вълчи дол,VAR09-00,municipality,base.bg,9280,False,l10n_bg_city.S10135,,
l10n_bg_city.12766,12766,12766,l10n_bg_city.town,Varbitsa,Върбица,SHU10-00,municipality,base.bg,9870,False,l10n_bg_city.S83510,,
l10n_bg_city.12961,12961,12961,l10n_bg_city.town,Varshets,Вършец,MON12-00,municipality,base.bg,3540,False,l10n_bg_city.S48489,,
l10n_bg_city.14218,14218,14218,l10n_bg_city.town,Gabrovo,Габрово,GAB05-00,municipality,base.bg,5300,True,l10n_bg_city.S14218,,
l10n_bg_city.14711,14711,14711,l10n_bg_city.town,General Toshevo,Генерал Тошево,DOB12-00,municipality,base.bg,9500,False,l10n_bg_city.S72624,,
l10n_bg_city.14773,14773,14773,l10n_bg_city.village,Georgi Damyanovo,Георги Дамяново,MON14-00,municipality,base.bg,3470,False,l10n_bg_city.S48489,,
l10n_bg_city.15031,15031,15031,l10n_bg_city.town,Glavinitsa,Главиница,SLS07-00,municipality,base.bg,7630,False,l10n_bg_city.S66425,,
l10n_bg_city.15309,15309,15309,l10n_bg_city.town,Godech,Годеч,SFO09-00,municipality,base.bg,2240,False,l10n_bg_city.S68134,,
l10n_bg_city.16314,16314,16314,l10n_bg_city.village,Gorna Malina,Горна Малина,SFO10-00,municipality,base.bg,2131,False,l10n_bg_city.S68134,,
l10n_bg_city.16359,16359,16359,l10n_bg_city.town,Gorna Oryahovitsa,Горна Оряховица,VTR06-00,municipality,base.bg,5100,False,l10n_bg_city.S10447,,
l10n_bg_city.17395,17395,17395,l10n_bg_city.town,Gotse Delchev,Гоце Делчев,BLG11-00,municipality,base.bg,2900,False,l10n_bg_city.S04279,,
l10n_bg_city.17645,17645,17645,l10n_bg_city.town,Gramada,Грамада,VID15-00,municipality,base.bg,3830,False,l10n_bg_city.S10971,,
l10n_bg_city.18099,18099,18099,l10n_bg_city.town,Gulyantsi,Гулянци,PVN08-00,municipality,base.bg,5960,False,l10n_bg_city.S56722,,
l10n_bg_city.18157,18157,18157,l10n_bg_city.town,Gurkovo,Гурково,SZR37-00,municipality,base.bg,6199,False,l10n_bg_city.S68850,,
l10n_bg_city.18280,18280,18280,l10n_bg_city.town,Galabovo,Гълъбово,SZR07-00,municipality,base.bg,6280,False,l10n_bg_city.S68850,,
l10n_bg_city.18366,18366,18366,l10n_bg_city.village,Garmen,Гърмен,BLG13-00,municipality,base.bg,2960,False,l10n_bg_city.S04279,,
l10n_bg_city.20184,20184,20184,l10n_bg_city.town,Dve mogili,Две могили,RSE08-00,municipality,base.bg,7150,False,l10n_bg_city.S63427,,
l10n_bg_city.20465,20465,20465,l10n_bg_city.town,Devin,Девин,SML09-00,municipality,base.bg,4800,False,l10n_bg_city.S67653,,
l10n_bg_city.20482,20482,20482,l10n_bg_city.town,Devnya,Девня,VAR14-00,municipality,base.bg,9160,False,l10n_bg_city.S10135,,
l10n_bg_city.20746,20746,20746,l10n_bg_city.town,Dzhebel,Джебел,KRZ08-00,municipality,base.bg,6850,False,l10n_bg_city.S40909,,
l10n_bg_city.21052,21052,21052,l10n_bg_city.town,Dimitrovgrad,Димитровград,HKV09-00,municipality,base.bg,6400,False,l10n_bg_city.S77195,,
l10n_bg_city.21097,21097,21097,l10n_bg_city.town,Dimovo,Димово,VID16-00,municipality,base.bg,3750,False,l10n_bg_city.S10971,,
l10n_bg_city.72624,72624,72624,l10n_bg_city.town,Dobrich,Добрич,DOB28-00,municipality,base.bg,9300,True,l10n_bg_city.S72624,,
l10n_bg_city.22006,22006,22006,l10n_bg_city.town,Dolna banya,Долна баня,SFO59-00,municipality,base.bg,2040,False,l10n_bg_city.S68134,,
l10n_bg_city.22215,22215,22215,l10n_bg_city.town,Dolna Mitropolia,Долна Митрополия,PVN10-00,municipality,base.bg,5855,False,l10n_bg_city.S56722,,
l10n_bg_city.22407,22407,22407,l10n_bg_city.town,Dolni Dabnik,Долни Дъбник,PVN11-00,municipality,base.bg,5870,False,l10n_bg_city.S56722,,
l10n_bg_city.21912,21912,21912,l10n_bg_city.town,Dolni chiflik,Долни чифлик,VAR13-00,municipality,base.bg,9120,False,l10n_bg_city.S10135,,
