"id","country_id/id","code","name"
"l10n_bg.S04279","base.bg","BLG","Област Благоевград"
"l10n_bg.S07079","base.bg","BGS","Област Бургас"
"l10n_bg.S10135","base.bg","VAR","Област Варна"
"l10n_bg.S10447","base.bg","VTR","Област Велико Търново"
"l10n_bg.S10971","base.bg","VID","Област Видин"
"l10n_bg.S12259","base.bg","VRC","Област Враца"
"l10n_bg.S14218","base.bg","GAB","Област Габрово"
"l10n_bg.S72624","base.bg","DOB","Област Добрич"
"l10n_bg.S40909","base.bg","KRZ","Област Кърджали"
"l10n_bg.S41112","base.bg","KNL","Област Кюстендил"
"l10n_bg.S43952","base.bg","LOV","Област Ловеч"
"l10n_bg.S48489","base.bg","MON","Област Монтана"
"l10n_bg.S55155","base.bg","PAZ","Област Пазарджик"
"l10n_bg.S55871","base.bg","PER","Област Перник"
"l10n_bg.S56722","base.bg","PVN","Област Плевен"
"l10n_bg.S56784","base.bg","PDV","Област Пловдив"
"l10n_bg.S61710","base.bg","RAZ","Област Разград"
"l10n_bg.S63427","base.bg","RSE","Област Русе"
"l10n_bg.S66425","base.bg","SLS","Област Силистра"
"l10n_bg.S67338","base.bg","SLV","Област Сливен"
"l10n_bg.S67653","base.bg","SML","Област Смолян"
"l10n_bg.S68134","base.bg","SOF","Област София"
"l10n_bg.S68850","base.bg","SZG","Област Стара Загора"
"l10n_bg.S73626","base.bg","TGV","Област Търговище"
"l10n_bg.S77195","base.bg","HKV","Област Хасково"
"l10n_bg.S83510","base.bg","SHU","Област Шумен"
"l10n_bg.S87374","base.bg","JAM","Област Ямбол"
