id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id,l10n_bg_structure_type,country_id/id
l10n_bg.00062,00062,l10n_bg_city.village,Аврамово,KRZ02-19,l10n_bg.S40909,l10n_bg.00607,l10n_bg.63402,normal,base.bg
l10n_bg.00117,00117,l10n_bg_city.village,Азманите,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.00179,00179,l10n_bg_city.village,Акациево,VID09-00,l10n_bg.S10971,l10n_bg.10971,,normal,base.bg
l10n_bg.00206,00206,l10n_bg_city.village,Албанци,KRZ08-17,l10n_bg.S40909,l10n_bg.20746,l10n_bg.72211,normal,base.bg
l10n_bg.00268,00268,l10n_bg_city.village,Александрия,DOB20-00,l10n_bg.S72624,l10n_bg.40097,,normal,base.bg
l10n_bg.00271,00271,l10n_bg_city.village,Александрово,BGS17-00,l10n_bg.S07079,l10n_bg.57491,,normal,base.bg
l10n_bg.00330,00330,l10n_bg_city.village,Александрово,SHU25-00,l10n_bg.S83510,l10n_bg.67708,,normal,base.bg
l10n_bg.00360,00360,l10n_bg_city.village,Александър Стамболийски,DOB12-00,l10n_bg.S72624,l10n_bg.14711,,normal,base.bg
l10n_bg.00388,00388,l10n_bg_city.village,Алиговска,SML31-01,l10n_bg.S67653,l10n_bg.67653,l10n_bg.00597,normal,base.bg
l10n_bg.00456,00456,l10n_bg_city.village,Ангелов,GAB05-09,l10n_bg.S14218,l10n_bg.14218,l10n_bg.22959,normal,base.bg
l10n_bg.00494,00494,l10n_bg_city.village,Антимово,SLS34-00,l10n_bg.S66425,l10n_bg.73496,,normal,base.bg
l10n_bg.00521,00521,l10n_bg_city.village,Аплаци,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.00610,00610,l10n_bg_city.village,Арзан,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.00624,00624,l10n_bg_city.village,Арковна,VAR16-00,l10n_bg.S10135,l10n_bg.24565,,normal,base.bg
l10n_bg.00638,00638,l10n_bg_city.village,Армените,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.00641,00641,l10n_bg_city.village,Армянковци,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.00669,00669,l10n_bg_city.village,Арпаджик,SML16-00,l10n_bg.S67653,l10n_bg.46045,,normal,base.bg
l10n_bg.00758,00758,l10n_bg_city.village,Асеново,JAM25-00,l10n_bg.S87374,l10n_bg.87374,,normal,base.bg
l10n_bg.02035,02035,l10n_bg_city.village,Бабек,PDV07-00,l10n_bg.S56784,l10n_bg.06361,,normal,base.bg
l10n_bg.02052,02052,l10n_bg_city.village,Бабинска река,KNL04-00,l10n_bg.S41112,l10n_bg.04501,,normal,base.bg
l10n_bg.02066,02066,l10n_bg_city.village,Бабица,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.02076,02076,l10n_bg_city.village,Баблон,SML31-30,l10n_bg.S67653,l10n_bg.67653,l10n_bg.67547,normal,base.bg
l10n_bg.02110,02110,l10n_bg_city.village,Багалевци,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
