id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id,l10n_bg_structure_type,country_id/id
l10n_bg.00062,62,l10n_bg_city.village,Avramovo,KRZ02-19,l10n_bg.S40909,l10n_bg.00607,l10n_bg.63402,normal,base.bg
l10n_bg.00117,117,l10n_bg_city.village,Azmanite,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.00179,179,l10n_bg_city.village,Akatsievo,VID09-00,l10n_bg.S10971,l10n_bg.10971,,normal,base.bg
l10n_bg.00206,206,l10n_bg_city.village,Albantsi,KRZ08-17,l10n_bg.S40909,l10n_bg.20746,l10n_bg.72211,normal,base.bg
l10n_bg.00268,268,l10n_bg_city.village,Aleksandria,DOB20-00,l10n_bg.S72624,l10n_bg.40097,,normal,base.bg
l10n_bg.00271,271,l10n_bg_city.village,Aleksandrovo,BGS17-00,l10n_bg.S07079,l10n_bg.57491,,normal,base.bg
l10n_bg.00330,330,l10n_bg_city.village,Aleksandrovo,SHU25-00,l10n_bg.S83510,l10n_bg.67708,,normal,base.bg
l10n_bg.00360,360,l10n_bg_city.village,Aleksandar Stamboliyski,DOB12-00,l10n_bg.S72624,l10n_bg.14711,,normal,base.bg
l10n_bg.00388,388,l10n_bg_city.village,Aligovska,SML31-01,l10n_bg.S67653,l10n_bg.67653,l10n_bg.00597,normal,base.bg
l10n_bg.00456,456,l10n_bg_city.village,Angelov,GAB05-09,l10n_bg.S14218,l10n_bg.14218,l10n_bg.22959,normal,base.bg
l10n_bg.00494,494,l10n_bg_city.village,Antimovo,SLS34-00,l10n_bg.S66425,l10n_bg.73496,,normal,base.bg
l10n_bg.00521,521,l10n_bg_city.village,Aplatsi,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.00610,610,l10n_bg_city.village,Arzan,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.00624,624,l10n_bg_city.village,Arkovna,VAR16-00,l10n_bg.S10135,l10n_bg.24565,,normal,base.bg
l10n_bg.00638,638,l10n_bg_city.village,Armenite,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.00641,641,l10n_bg_city.village,Armyankovtsi,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.00669,669,l10n_bg_city.village,Arpadzhik,SML16-00,l10n_bg.S67653,l10n_bg.46045,,normal,base.bg
l10n_bg.00758,758,l10n_bg_city.village,Asenovo,JAM25-00,l10n_bg.S87374,l10n_bg.87374,,normal,base.bg
l10n_bg.02035,2035,l10n_bg_city.village,Babek,PDV07-00,l10n_bg.S56784,l10n_bg.06361,,normal,base.bg
l10n_bg.02052,2052,l10n_bg_city.village,Babinska reka,KNL04-00,l10n_bg.S41112,l10n_bg.04501,,normal,base.bg
l10n_bg.02066,2066,l10n_bg_city.village,Babitsa,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.02076,2076,l10n_bg_city.village,Bablon,SML31-30,l10n_bg.S67653,l10n_bg.67653,l10n_bg.67547,normal,base.bg
l10n_bg.02110,2110,l10n_bg_city.village,Bagalevtsi,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.02169,2169,l10n_bg_city.village,Badevtsi,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.02172,2172,l10n_bg_city.village,Badino,KNL05-00,l10n_bg.S41112,l10n_bg.04532,,normal,base.bg
l10n_bg.02191,2191,l10n_bg_city.village,Baevtsi,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.02207,2207,l10n_bg_city.village,Baevtsi,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.02213,2213,l10n_bg_city.village,Bazhdari,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.02230,2230,l10n_bg_city.village,Baykalsko,PER36-00,l10n_bg.S55871,l10n_bg.61577,,normal,base.bg
l10n_bg.02289,2289,l10n_bg_city.village,Bakyovo,SFO43-00,l10n_bg.S68134,l10n_bg.65869,,normal,base.bg
l10n_bg.02302,2302,l10n_bg_city.village,Balabansko,LOV34-00,l10n_bg.S43952,l10n_bg.73198,,normal,base.bg
l10n_bg.02333,2333,l10n_bg_city.village,Balaleya,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.02347,2347,l10n_bg_city.village,Balanite,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.02378,2378,l10n_bg_city.village,Balvantsite,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.02419,2419,l10n_bg_city.village,Balinovtsi,GAB05-09,l10n_bg.S14218,l10n_bg.14218,l10n_bg.22959,normal,base.bg
l10n_bg.02453,2453,l10n_bg_city.village,Balkan mahala,PDV15-00,l10n_bg.S56784,l10n_bg.44478,,normal,base.bg
l10n_bg.02484,2484,l10n_bg_city.village,Balkantsi,DOB12-00,l10n_bg.S72624,l10n_bg.14711,,normal,base.bg
l10n_bg.02498,2498,l10n_bg_city.village,Balutsi,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.02539,2539,l10n_bg_city.village,Balyovtsi,SFO20-06,l10n_bg.S68134,l10n_bg.32901,l10n_bg.10029,normal,base.bg
l10n_bg.02542,2542,l10n_bg_city.village,Balyuvitsa,MON02-00,l10n_bg.S48489,l10n_bg.03928,,normal,base.bg
l10n_bg.02556,2556,l10n_bg_city.village,Banari,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.02563,2563,l10n_bg_city.village,Bangeytsi,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.02614,2614,l10n_bg_city.village,Banishte,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.02628,2628,l10n_bg_city.village,Bankovets,TGV02-00,l10n_bg.S73626,l10n_bg.00518,,normal,base.bg
l10n_bg.02631,2631,l10n_bg_city.village,Bankovtsi,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.02645,2645,l10n_bg_city.village,Bankya,PER51-00,l10n_bg.S55871,l10n_bg.73273,,normal,base.bg
l10n_bg.02659,2659,l10n_bg_city.town,Bankya,SOF46-00,l10n_bg.S68134,l10n_bg.68134,,normal,base.bg
l10n_bg.02662,2662,l10n_bg_city.village,Banovo,VAR26-00,l10n_bg.S10135,l10n_bg.70175,,normal,base.bg
l10n_bg.02689,2689,l10n_bg_city.village,Banchovtsi,SFO20-00,l10n_bg.S68134,l10n_bg.32901,,normal,base.bg
l10n_bg.02806,2806,l10n_bg_city.village,Baskaltsi,BLG33-00,l10n_bg.S04279,l10n_bg.56126,,normal,base.bg
l10n_bg.02899,2899,l10n_bg_city.village,Batulia,SFO43-00,l10n_bg.S68134,l10n_bg.65869,,normal,base.bg
l10n_bg.02926,2926,l10n_bg_city.village,Bahalin,SFO45-00,l10n_bg.S68134,l10n_bg.67372,,normal,base.bg
l10n_bg.02943,2943,l10n_bg_city.village,Bahretsi,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.03023,3023,l10n_bg_city.village,Bashtino,SZR23-00,l10n_bg.S68850,l10n_bg.53576,,normal,base.bg
l10n_bg.03040,3040,l10n_bg_city.village,Bdintsi,DOB15-00,l10n_bg.S72624,l10n_bg.72624,,normal,base.bg
l10n_bg.03126,3126,l10n_bg_city.village,Bedzhene,SHU22-00,l10n_bg.S83510,l10n_bg.52009,,normal,base.bg
l10n_bg.03157,3157,l10n_bg_city.village,Bezhanovo,DOB12-00,l10n_bg.S72624,l10n_bg.14711,,normal,base.bg
l10n_bg.03188,3188,l10n_bg_city.village,Bezvodno,KRZ35-00,l10n_bg.S40909,l10n_bg.81236,,normal,base.bg
l10n_bg.03232,3232,l10n_bg_city.village,Beykovtsi,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
