"id","code","name","level","kid_version","partner_industry_id:id"
"kid_2025_A","A","Селско, горско и рибно стопанство","section","2025","base.res_partner_industry_A"
"kid_2025_B","B","Добивна промишленост","section","2025","base.res_partner_industry_B"
"kid_2025_C","C","Преработваща промишленост","section","2025","base.res_partner_industry_C"
"kid_2025_D","D","Производство и разпределение на електрическа и топлинна енергия и на газообразни горива","section","2025","base.res_partner_industry_D"
"kid_2025_E","E","Доставяне на води; канализационни услуги, управление на отпадъци и възстановяване","section","2025","base.res_partner_industry_E"
"kid_2025_F","F","Строителство","section","2025","base.res_partner_industry_F"
"kid_2025_G","G","Търговия; ремонт на автомобили и мотоциклети","section","2025","base.res_partner_industry_G"
"kid_2025_H","H","Транспорт, складиране и пощи","section","2025","base.res_partner_industry_H"
"kid_2025_I","I","Хотелиерство и ресторантьорство","section","2025","base.res_partner_industry_I"
"kid_2025_J","J","Създаване и разпространение на информация и творчески продукти; далекосъобщения","section","2025","base.res_partner_industry_J"
"kid_2025_K","K","Финансови и застрахователни дейности","section","2025","base.res_partner_industry_K"
"kid_2025_L","L","Операции с недвижими имоти","section","2025","base.res_partner_industry_L"
"kid_2025_M","M","Професионални дейности и научни изследвания","section","2025","base.res_partner_industry_M"
"kid_2025_N","N","Административни и спомагателни дейности","section","2025","base.res_partner_industry_N"
"kid_2025_O","O","Държавно управление","section","2025","base.res_partner_industry_O"
"kid_2025_P","P","Образование","section","2025","base.res_partner_industry_P"
"kid_2025_Q","Q","Хуманно здравеопазване и социална работа","section","2025","base.res_partner_industry_Q"
"kid_2025_R","R","Култура, спорт и развлечения","section","2025","base.res_partner_industry_R"
"kid_2025_S","S","Други дейности","section","2025","base.res_partner_industry_S"
"kid_2025_T","T","Дейности на домакинства като работодатели","section","2025","base.res_partner_industry_T"
"kid_2025_U","U","Дейности на екстериториални организации и служби","section","2025","base.res_partner_industry_U"
