"id","name","code","account_type","tag_ids","reconcile","non_trade","name@bg"
"l10n_bg_20481","Computer equipment below the threshold of materiality","204.810","asset_fixed","","False","","Компютърна техника под прага на същественост"
"l10n_bg_20581","Facilities below the threshold of materiality","205.810","asset_fixed","","False","","Съоръжения под прага на същественост"
"l10n_bg_20681","Machinery and equipment below the threshold of materiality","206.810","asset_fixed","","False","","Машини и оборудване под прага на същественост"
"l10n_bg_20781","Vehicles below the threshold of materiality","207.810","asset_fixed","","False","","Транспортни средства под прага на същественост"
"l10n_bg_20881","Office furniture below the threshold of materiality","208.810","asset_fixed","","False","","Офис обзавеждане под прага на същественост"
"l10n_bg_20981","Other tangible fixed assets below the threshold of materiality","209.810","asset_fixed","","False","","Други дълготрайни материални активи под прага на същественост"
"l10n_bg_20482","Reported expense for Computer equipment below the threshold of materiality","204.820","asset_fixed","","False","","Отчетен разход за компютърна техника под прага на същественост"
"l10n_bg_20582","Reported expense for Facilities below the threshold of materiality","205.820","asset_fixed","","False","","Отчетен разход за съоръжения под прага на същественост"
"l10n_bg_20682","Reported expense for Machinery and equipment below the threshold of materiality","206.820","asset_fixed","","False","","Отчетен разход за машини и оборудване под прага на същественост"
"l10n_bg_20782","Reported expense for Vehicles below the threshold of materiality","207.820","asset_fixed","","False","","Отчетен разход за транспортни средства под прага на същественост"
"l10n_bg_20882","Reported expense for Office furniture below the threshold of materiality","208.820","asset_fixed","","False","","Отчетен разход за офис обзавеждане под прага на същественост"
"l10n_bg_20982","Reported expense for Other tangible fixed assets below the threshold of materiality","209.820","asset_fixed","","False","","Отчетен разход за други дълготрайни материални активи под прага на същественост"
"l10n_bg_7011","Cost amount of productions sold","701.100","expense","","False","","Отчетна стойност на продадената продукция"
"l10n_bg_7021","Cost amount of goods sold","702.100","expense","","False","","Отчетна стойност на продадените материали"
"l10n_bg_7051","Cost amount of fixed assets sold","705.100","expense","","False","","Отчетна стойност на продадените дълготрайни активи"
"l10n_bg_7091","Revenues from sales of materials","709.100","income","","False","","Други приходи от продаба на материали"
"l10n_bg_70912","Cost amount of fixed materials sold","709.200","expense","","False","","Отчетна стойност на продадените материали"
"l10n_bg_491","Trustees","491","liability_non_current","","True","","Доверители"
