"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@bg","active","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"l10n_bg_sale_vat_20_ica","301","20% receivable (ICA)","20% VAT receivable (ICA)","","20.0","percent","none","tax_group_vat_20","100","base","invoice","12_1","","20% ДДС Внасяне (ВОП)","","","",""
"","","","","","","","","","-100","tax","invoice","21","l10n_bg_4532","","","","",""
"","","","","","","","","","100","tax","invoice","","l10n_bg_430","","","","",""
"","","","","","","","","","100","base","refund","12_1","","","","","",""
"","","","","","","","","","-100","tax","refund","21","l10n_bg_4532","","","","",""
"","","","","","","","","","100","tax","refund","","l10n_bg_430","","","","",""
"l10n_bg_purchase_vat_20_ica_ptc","401","20% Payable (ICA)","20% VAT Payable (ICA)","","20.0","percent","none","tax_group_vat_20","100","base","invoice","32","","20% ДДС Получаване (ВОП)","","","",""
"","","","","","","","","","100","tax","invoice","42","l10n_bg_4531","","","","",""
"","","","","","","","","","-100","tax","invoice","","l10n_bg_430","","","","",""
"","","","","","","","","","100","base","refund","32","","","","","",""
"","","","","","","","","","100","tax","refund","42","l10n_bg_4531","","","","",""
"","","","","","","","","","-100","tax","refund","","l10n_bg_430","","","","",""
"l10n_bg_purchase_vat_20_ptc_ica","206","20% EU PTC","20% Payable Tax Credit – Intra-Community Acquisition","20% Payable Tax Credit – Intra-Community Acquisition","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","12_1||32","","","","fiscal_position_template_in_eu","l10n_bg_purchase_vat_20_ptc",""
"","","","","","","","","","100","tax","invoice","42","l10n_bg_4531","","","","",""
"","","","","","","","","","-100","tax","invoice","22","l10n_bg_4532","","","","",""
"","","","","","","","","","100","base","refund","12_1||32","","","","","",""
"","","","","","","","","","100","tax","refund","42","l10n_bg_4531","","","","",""
"","","","","","","","","","-100","tax","refund","22","l10n_bg_4532","","","","",""
