"id","name","code","level","kid_version","partner_industry_id","name@bg"
"kid_2025_A","Agriculture, forestry and fishing","A","section","2025","base.res_partner_industry_A","Селско, горско и рибно стопанство"
"kid_2025_B","Mining and quarrying","B","section","2025","base.res_partner_industry_B","Добивна промишленост"
"kid_2025_C","Manufacturing","C","section","2025","base.res_partner_industry_C","Преработваща промишленост"
"kid_2025_D","Electricity, gas, steam and air conditioning supply","D","section","2025","base.res_partner_industry_D","Производство и разпределение на електрическа и топлинна енергия и на газообразни горива"
"kid_2025_E","Water supply; sewerage, waste management and remediation","E","section","2025","base.res_partner_industry_E","Доставяне на води; канализационни услуги, управление на отпадъци и възстановяване"
"kid_2025_F","Construction","F","section","2025","base.res_partner_industry_F","Строителство"
"kid_2025_G","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","section","2025","base.res_partner_industry_G","Търговия; ремонт на автомобили и мотоциклети"
"kid_2025_H","Transportation and storage","H","section","2025","base.res_partner_industry_H","Транспорт, складиране и пощи"
"kid_2025_I","Accommodation and food service activities","I","section","2025","base.res_partner_industry_I","Хотелиерство и ресторантьорство"
"kid_2025_J","Information and communication","J","section","2025","base.res_partner_industry_J","Създаване и разпространение на информация и творчески продукти; далекосъобщения"
"kid_2025_K","Financial and insurance activities","K","section","2025","base.res_partner_industry_K","Финансови и застрахователни дейности"
"kid_2025_L","Real estate activities","L","section","2025","base.res_partner_industry_L","Операции с недвижими имоти"
"kid_2025_M","Professional, scientific and technical activities","M","section","2025","base.res_partner_industry_M","Професионални дейности и научни изследвания"
"kid_2025_N","Administrative and support service activities","N","section","2025","base.res_partner_industry_N","Административни и спомагателни дейности"
"kid_2025_O","Public administration and defence; compulsory social security","O","section","2025","base.res_partner_industry_O","Държавно управление"
"kid_2025_P","Education","P","section","2025","base.res_partner_industry_P","Образование"
"kid_2025_Q","Human health and social work activities","Q","section","2025","base.res_partner_industry_Q","Хуманно здравеопазване и социална работа"
"kid_2025_R","Arts, entertainment and recreation","R","section","2025","base.res_partner_industry_R","Култура, спорт и развлечения"
"kid_2025_S","Other service activities","S","section","2025","base.res_partner_industry_S","Други дейности"
"kid_2025_T","Activities of households as employers","T","section","2025","base.res_partner_industry_T","Дейности на домакинства като работодатели"
"kid_2025_U","Activities of extraterritorial organisations and bodies","U","section","2025","base.res_partner_industry_U","Дейности на екстериториални организации и служби"
