"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id",repartition_line_ids/factor_percent,repartition_line_ids/repartition_type,"repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id",children_tax_ids,description@bg,"active"
l10n_bg_sale_vat_82_2_receivable,"501","20% receivable Art. 82(2)","0% VAT receivable under Article 82, paragraph 2","","20.0","percent","none","tax_group_vat_0",,"base","invoice","+12_2","","","20% ДДС самоначисляване чл. 82 ал. 2",""
"","","","","","","","","","-100","tax","invoice","+13","l10n_bg_4532","","",""
"","","","","","","","","","100","tax","invoice",,"l10n_bg_430","","",""
"","","","","","","","","",,"base","refund","-12_2","","","",""
"","","","","","","","","","-100","tax","refund","-13","l10n_bg_4532","","",""
"","","","","","","","","","100","tax","refund",,"l10n_bg_430","","",""
l10n_bg_purchase_vat_82_2_payable,"502","20% Payable Art. 82(2)","0% VAT Payable under Article 82, paragraph 2","","20.0","percent","none","tax_group_vat_0",,"base","invoice",,"","","20% ДДС Получаване чл. 82 ал. 2",""
"","","","","","","","","","100","tax","invoice","+42","l10n_bg_4531","","",""
"","","","","","","","","","-100","tax","invoice",,"l10n_bg_430","","",""
"","","","","","","","","",,"base","refund",,"","","",""
"","","","","","","","","","100","tax","refund","-42","l10n_bg_4531","","",""
"","","","","","","","","","-100","tax","refund",,"l10n_bg_430","","",""
l10n_bg_purchase_vat_82_2_ptc,"503","0% PTC Art. 80(2)","0% Payable Tax Credit – Article 82, paragraph 2","0% Art. 69(2) PTC","0.0","group","purchase","","","","","","","l10n_bg_sale_vat_69_2_receivable,l10n_bg_purchase_vat_69_2_payable","0% ДДС - чл. 82 ал. 2 ЗДДС","1"
