"id","kid_id:id","account_code","relation_type","revenue_indicator","note"
"map_C_303","l10n_bg_config.kid_2025_C","303","mandatory","0","Продукция (СС 2)"
"map_C_611","l10n_bg_config.kid_2025_C","611","mandatory","0","Разходи за основна дейност"
"map_C_701","l10n_bg_config.kid_2025_C","701","mandatory","1","Приходи от продажби на продукция (НСИ)"
"map_C_601","l10n_bg_config.kid_2025_C","601","characteristic","0","Разходи за материали"
"map_G_304","l10n_bg_config.kid_2025_G","304","mandatory","0","Стоки (СС 2)"
"map_G_702","l10n_bg_config.kid_2025_G","702","mandatory","1","Приходи от продажби на стоки (НСИ)"
"map_G_615","l10n_bg_config.kid_2025_G","615","characteristic","0","Разходи за продажби"
"map_G_303","l10n_bg_config.kid_2025_G","303","forbidden","0","Търговец не води продукция"
"map_G_701","l10n_bg_config.kid_2025_G","701","forbidden","0","Няма продажби на продукция"
"map_F_611","l10n_bg_config.kid_2025_F","611","characteristic","0","Незавършено производство по СС 11"
"map_F_703","l10n_bg_config.kid_2025_F","703","mandatory","1","Приходи от СМР услуги (НСИ)"
"map_A_271","l10n_bg_config.kid_2025_A","271","characteristic","0","Гори — биологични активи (СС 41)"
"map_A_272","l10n_bg_config.kid_2025_A","272","characteristic","0","Трайни насаждения (СС 41)"
"map_A_274","l10n_bg_config.kid_2025_A","274","characteristic","0","Животни в основни стада (СС 41)"
"map_A_311","l10n_bg_config.kid_2025_A","311","characteristic","0","Краткотрайни биологични активи (СС 41)"
"map_A_701","l10n_bg_config.kid_2025_A","701","mandatory","1","Приходи от продукция (НСИ)"
"map_M_703","l10n_bg_config.kid_2025_M","703","mandatory","1","Приходи от услуги (СС 18, НСИ)"
"map_M_303","l10n_bg_config.kid_2025_M","303","forbidden","0","Услуга — без продукция"
"map_M_304","l10n_bg_config.kid_2025_M","304","forbidden","0","Услуга — без стоки"
"map_J_703","l10n_bg_config.kid_2025_J","703","mandatory","1","Приходи от услуги (НСИ)"
"map_H_703","l10n_bg_config.kid_2025_H","703","mandatory","1","Приходи от транспортни услуги (НСИ)"
"map_I_703","l10n_bg_config.kid_2025_I","703","mandatory","1","Приходи от услуги настаняване/храна (НСИ)"
"map_I_702","l10n_bg_config.kid_2025_I","702","characteristic","0","Стоки (търговия с храни/напитки)"
"map_L_704","l10n_bg_config.kid_2025_L","704","mandatory","1","Приходи от наеми (СС 40, НСИ)"
"map_S_711","l10n_bg_config.kid_2025_S","711","characteristic","0","Регламентирана нестопанска дейност (СС 9)"
"map_S_712","l10n_bg_config.kid_2025_S","712","characteristic","0","Членски внос (СС 9)"
"map_S_713","l10n_bg_config.kid_2025_S","713","characteristic","0","Дарения и финансирания (СС 9)"
