"id","kid_id","account_code","relation_type","revenue_indicator","note","note@bg"
"map_C_303","kid_2025_C","303","mandatory","0","Production stock (СС 2)","Продукция (СС 2)"
"map_C_611","kid_2025_C","611","mandatory","0","Cost of core activity","Разходи за основна дейност"
"map_C_701","kid_2025_C","701","mandatory","1","Net revenue from sales of production (НСИ)","Приходи от продажби на продукция (НСИ)"
"map_C_601","kid_2025_C","601","characteristic","0","Cost of materials","Разходи за материали"
"map_G_304","kid_2025_G","304","mandatory","0","Goods for resale (СС 2)","Стоки (СС 2)"
"map_G_702","kid_2025_G","702","mandatory","1","Net revenue from sales of goods (НСИ)","Приходи от продажби на стоки (НСИ)"
"map_G_615","kid_2025_G","615","characteristic","0","Selling expenses","Разходи за продажби"
"map_G_303","kid_2025_G","303","forbidden","0","Trader keeps no production stock","Търговец не води продукция"
"map_G_701","kid_2025_G","701","forbidden","0","No sales of own production","Няма продажби на продукция"
"map_F_611","kid_2025_F","611","characteristic","0","WIP per СС 11 (stage of completion)","Незавършено производство по СС 11"
"map_F_703","kid_2025_F","703","mandatory","1","Net revenue from construction services (НСИ)","Приходи от СМР услуги (НСИ)"
"map_A_271","kid_2025_A","271","characteristic","0","Forests — biological assets (СС 41)","Гори — биологични активи (СС 41)"
"map_A_272","kid_2025_A","272","characteristic","0","Perennial plantations (СС 41)","Трайни насаждения (СС 41)"
"map_A_274","kid_2025_A","274","characteristic","0","Animals in main herds (СС 41)","Животни в основни стада (СС 41)"
"map_A_311","kid_2025_A","311","characteristic","0","Current biological assets (СС 41)","Краткотрайни биологични активи (СС 41)"
"map_A_701","kid_2025_A","701","mandatory","1","Net revenue from agricultural produce (НСИ)","Приходи от продукция (НСИ)"
"map_M_703","kid_2025_M","703","mandatory","1","Net revenue from services (СС 18, НСИ)","Приходи от услуги (СС 18, НСИ)"
"map_M_303","kid_2025_M","303","forbidden","0","Service activity — no production stock","Услуга — без продукция"
"map_M_304","kid_2025_M","304","forbidden","0","Service activity — no goods","Услуга — без стоки"
"map_J_703","kid_2025_J","703","mandatory","1","Net revenue from services (НСИ)","Приходи от услуги (НСИ)"
"map_H_703","kid_2025_H","703","mandatory","1","Net revenue from transport services (НСИ)","Приходи от транспортни услуги (НСИ)"
"map_I_703","kid_2025_I","703","mandatory","1","Net revenue from accommodation/food services (НСИ)","Приходи от услуги настаняване/храна (НСИ)"
"map_I_702","kid_2025_I","702","characteristic","0","Goods (food/beverage retail)","Стоки (търговия с храни/напитки)"
"map_L_704","kid_2025_L","704","mandatory","1","Net revenue from rentals (СС 40, НСИ)","Приходи от наеми (СС 40, НСИ)"
"map_S_711","kid_2025_S","711","characteristic","0","Regulated non-profit activity (СС 9)","Регламентирана нестопанска дейност (СС 9)"
"map_S_712","kid_2025_S","712","characteristic","0","Membership fees (СС 9)","Членски внос (СС 9)"
"map_S_713","kid_2025_S","713","characteristic","0","Donations and financing (СС 9)","Дарения и финансирания (СС 9)"
