code,name,category,description
-100001,ERR_IO,GENERIC ERRORS - FISCAL DEVICES,General error in fiscal device: In - out error( cannot read or write )
-100002,ERR_CHECKSUM,GENERIC ERRORS - FISCAL DEVICES,General error in fiscal device: Wrong checksum
-100003,ERR_END_OF_DATA,GENERIC ERRORS - FISCAL DEVICES,General error in fiscal device: No more data
-100004,ERR_NOTFOUND,GENERIC ERRORS - FISCAL DEVICES,General error in fiscal device: The element is not found
-100005,ERR_NO_RECORDS,GENERIC ERRORS - FISCAL DEVICES,General error in fiscal device: There are no records found
-100006,ERR_ABORTED,GENERIC ERRORS - FISCAL DEVICES,General error in fiscal device: The operation is aborted
-100007,ERR_WRONG_MODE,GENERIC ERRORS - FISCAL DEVICES,"Wrong mode( standart, training...) is selected."
-100008,ERR_NOT_READY,GENERIC ERRORS - FISCAL DEVICES,General error in fiscal device: Device is not ready
-100009,ERR_NOTHING_TO_PRINT,GENERIC ERRORS - FISCAL DEVICES,General error in fiscal device: Nothing to print
-100100,ERR_FM_BUSY,GENERIC ERRORS - FISCAL DEVICES,Fiscal memory error: Fiscal memory is busy
-100101,ERR_FM_FAILURE,FISCAL MEMORIES,Fiscal memory error: Fiscal memory failure. Could not read or write
-100102,ERR_FM_WRITE_PROTECTED,FISCAL MEMORIES,Fiscal memory error: Forbidden write in fiscal memory
-100103,ERR_FM_WRONG_ADDRESS,FISCAL MEMORIES,Fiscal memory error: Wrong address in fiscal memory
-100104,ERR_FM_WRONG_SIZE,FISCAL MEMORIES,Fiscal memory error: Wrong size in fiscal memory
-100105,ERR_FM_NOT_CONNECTED,FISCAL MEMORIES,Fiscal memory error: Fiscal memory is not connected
-100106,ERR_FM_WRONG_CHECK_SUM,FISCAL MEMORIES,Fiscal memory error: Wrong checksum in fiscal memory( invalid data )
-100107,ERR_FM_BLOCK_IS_EMPTY,FISCAL MEMORIES,Fiscal memory error: Empty block in fiscal memory
-100108,ERR_FM_MAX_NUMBER,FISCAL MEMORIES,Fiscal memory error: Maximum number of block in fiscal memory
