id,code,name,country_id/id,sequence
l10n_bg_001,"001","Indefinite employment contract under Art. 67, para. 1, item 1 of the Labor Code",base.bg,1
l10n_bg_002,"002","Fixed-term employment contract under Art. 68, para. 1, item 1 of the Labor Code",base.bg,2
l10n_bg_003,"003","Employment contract under Art. 68, para. 1, item 2 of the Labor Code",base.bg,3
l10n_bg_004,"004","Employment contract under Art. 68, para. 1, item 3 of the Labor Code",base.bg,4
l10n_bg_005,"005","Employment contract under Art. 68, para. 1, item 4 of the Labor Code",base.bg,5
l10n_bg_006,"006","Employment contract under Art. 68, para. 1, item 5 of the Labor Code",base.bg,6
l10n_bg_007,"007","Employment contract with probation period under Art. 70 of the Labor Code",base.bg,7
l10n_bg_008,"008","Agreement under Art. 107 of the Labor Code in connection with Art. 83 of the Labor Code",base.bg,8
l10n_bg_009,"009","Agreement under Art. 107 of the Labor Code in connection with Art. 89 of the Labor Code",base.bg,9
l10n_bg_010,"010","Additional employment contract under Art. 110 of the Labor Code",base.bg,10
l10n_bg_011,"011","Additional employment contract under Art. 111 of the Labor Code",base.bg,11
l10n_bg_012,"012","Employment contract under Art. 114, para. 1 of the Labor Code",base.bg,12
l10n_bg_013,"013","Decree under Art. 405a of the Labor Code",base.bg,13
l10n_bg_014,"014","Employment contract for on-the-job training under Art. 230 of the Labor Code",base.bg,14
l10n_bg_015,"015","Employment contract for internal replacement under Art. 259 of the Labor Code",base.bg,15
l10n_bg_016,"016","Apprenticeship contract under Art. 233b of the Labor Code",base.bg,16
l10n_bg_017,"017","Employment contract under Art. 68, para. 1, item 2 or 3 in connection with Art. 121a, para. 2, item 1 of the Labor Code",base.bg,17
l10n_bg_018,"018","Additional agreement in the cases of Art. 121a, para. 1, item 1 of the Labor Code",base.bg,18
l10n_bg_019,"019","Additional agreement under Art. 119, para. 1 of the Labor Code or order under Art. 118, para. 3 of the Labor Code for amendment of the basic remuneration",base.bg,19
l10n_bg_020,"020","Additional agreement under Art. 119, para. 1 of the Labor Code or order under Art. 138a, para. 1 or 2 of the Labor Code for amendment of working time duration",base.bg,20
l10n_bg_021,"021","Additional agreement under Art. 119, para. 1 of the Labor Code, which amends the term of the employment contract or the position of the employee or the amount of agreed paid annual leave and/or the workplace",base.bg,21
