id,code,name
l10n_bg_nssi_01,01,Occupational disease
l10n_bg_nssi_02,02,Work accident
l10n_bg_nssi_03,03,Common illness
l10n_bg_nssi_04,04,Maternity – pregnancy and childbirth
l10n_bg_nssi_05,05,Caring for sick child (under 2)
l10n_bg_nssi_06,06,Quarantine
l10n_bg_nssi_07,07,Accompanying a sick family member
l10n_bg_nssi_08,08,Sanatorium or spa treatment
l10n_bg_nssi_09,09,Recovery after illness
l10n_bg_nssi_10,10,Epidemiological isolation
l10n_bg_nssi_11,11,Medical examinations and tests
l10n_bg_nssi_12,12,Organ donation
l10n_bg_nssi_13,13,Reintegration after work accident
l10n_bg_nssi_14,14,Temporary reassignment for medical reasons
l10n_bg_nssi_15,15,Adoption leave
l10n_bg_nssi_16,16,In-vitro procedures
l10n_bg_nssi_18,18,Non-work (domestic) accident
l10n_bg_nssi_19,19,Caring for a sick child (under 18)
