id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id,doo_emp_param_id,doo_er_param_id,ppf_param_id,tzbp_param_id,tzbp_param_value_code,ppf_param_value_code
bg_ncop_0,Професии във въоръжените сили,0,major_group,military,secondary,2,2025-01-01,TRUE,,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT1,
bg_ncop_1,Ръководители,1,major_group,manager,higher,4,2025-01-01,TRUE,,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_2,Специалисти,2,major_group,specialist,higher,4,2025-01-01,TRUE,,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_3,Техници и приложни специалисти,3,major_group,technician,secondary,3,2025-01-01,TRUE,,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_4,Помощен административен персонал,4,major_group,clerk,secondary,2,2025-01-01,TRUE,,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_5,Персонал зает с услуги за населението търговията и охраната,5,major_group,service,secondary,2,2025-01-01,TRUE,,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_SRV,
bg_ncop_6,Квалифицирани работници в селското горското ловното и рибното стопанство,6,major_group,skilled,primary,2,2025-01-01,TRUE,,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_7,Квалифицирани работници и сродни на тях занаятчии,7,major_group,skilled,secondary,2,2025-01-01,TRUE,,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_8,Машинни оператори и монтажници,8,major_group,operator,secondary,2,2025-01-01,TRUE,,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_9,Професии неизискващи специална квалификация,9,major_group,elementary,primary,1,2025-01-01,TRUE,,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_01,Служители във въоръжените сили,01,sub_major_group,military,secondary,2,2025-01-01,TRUE,bg_ncop_0,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_11,Законодатели висши представители и изпълнителни директори,11,sub_major_group,manager,higher,4,2025-01-01,TRUE,bg_ncop_1,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_12,Административни ръководители и ръководители в търговски дружества,12,sub_major_group,manager,higher,4,2025-01-01,TRUE,bg_ncop_1,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_13,Ръководители в производството и специализираните услуги,13,sub_major_group,manager,secondary,3,2025-01-01,TRUE,bg_ncop_1,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_14,Ръководители в хотелиерството търговията и други услуги,14,sub_major_group,manager,secondary,3,2025-01-01,TRUE,bg_ncop_1,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_SRV,
bg_ncop_21,Специалисти по природни и технически науки,21,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_22,Медицински специалисти,22,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_SRV,
bg_ncop_23,Преподаватели,23,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_24,Стопански и административни специалисти,24,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_25,Специалисти по информационни и комуникационни технологии,25,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_26,Юристи и специалисти по обществени науки и култура,26,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_31,Приложни специалисти в природните и техническите науки,31,sub_major_group,technician,secondary,3,2025-01-01,TRUE,bg_ncop_3,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_32,Приложни специалисти в здравеопазването,32,sub_major_group,technician,secondary,3,2025-01-01,TRUE,bg_ncop_3,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_SRV,
bg_ncop_33,Стопански и административни приложни специалисти,33,sub_major_group,technician,secondary,3,2025-01-01,TRUE,bg_ncop_3,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_34,Други приложни специалисти,34,sub_major_group,technician,secondary,3,2025-01-01,TRUE,bg_ncop_3,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_SRV,
bg_ncop_35,Техници в областта на информационните и комуникационни технологии,35,sub_major_group,technician,secondary,3,2025-01-01,TRUE,bg_ncop_3,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_41,Общи административни служители и оператори на организационна техника,41,sub_major_group,clerk,secondary,2,2025-01-01,TRUE,bg_ncop_4,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
bg_ncop_42,Административен персонал по обслужване на клиенти,42,sub_major_group,clerk,secondary,2,2025-01-01,TRUE,bg_ncop_4,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_SRV,
bg_ncop_43,Административен персонал водещ счетоводни и стокови документи,43,sub_major_group,clerk,secondary,2,2025-01-01,TRUE,bg_ncop_4,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_OFFICE,
