id,region_id/id
l10n_bg.04279,l10n_bg_intrastat_product.intrastat_region_bg_BLG
l10n_bg.07079,l10n_bg_intrastat_product.intrastat_region_bg_BGS
l10n_bg.10135,l10n_bg_intrastat_product.intrastat_region_bg_VAR
l10n_bg.10447,l10n_bg_intrastat_product.intrastat_region_bg_VTR
l10n_bg.10971,l10n_bg_intrastat_product.intrastat_region_bg_VID
l10n_bg.12259,l10n_bg_intrastat_product.intrastat_region_bg_VRC
l10n_bg.14218,l10n_bg_intrastat_product.intrastat_region_bg_GAB
l10n_bg.72624,l10n_bg_intrastat_product.intrastat_region_bg_DOB
l10n_bg.40909,l10n_bg_intrastat_product.intrastat_region_bg_KRZ
l10n_bg.41112,l10n_bg_intrastat_product.intrastat_region_bg_KNL
l10n_bg.43952,l10n_bg_intrastat_product.intrastat_region_bg_LOV
l10n_bg.48489,l10n_bg_intrastat_product.intrastat_region_bg_MON
l10n_bg.55155,l10n_bg_intrastat_product.intrastat_region_bg_PAZ
l10n_bg.55871,l10n_bg_intrastat_product.intrastat_region_bg_PER
l10n_bg.56722,l10n_bg_intrastat_product.intrastat_region_bg_PVN
l10n_bg.57354,l10n_bg_intrastat_product.intrastat_region_bg_VTR
l10n_bg.61710,l10n_bg_intrastat_product.intrastat_region_bg_RAZ
l10n_bg.63427,l10n_bg_intrastat_product.intrastat_region_bg_RSE
l10n_bg.66425,l10n_bg_intrastat_product.intrastat_region_bg_SLS
l10n_bg.67338,l10n_bg_intrastat_product.intrastat_region_bg_SLV
l10n_bg.67653,l10n_bg_intrastat_product.intrastat_region_bg_SML
l10n_bg.68134,l10n_bg_intrastat_product.intrastat_region_bg_SFO
l10n_bg.68850,l10n_bg_intrastat_product.intrastat_region_bg_SZR
l10n_bg.73626,l10n_bg_intrastat_product.intrastat_region_bg_TGV
l10n_bg.77195,l10n_bg_intrastat_product.intrastat_region_bg_HKV
l10n_bg.83510,l10n_bg_intrastat_product.intrastat_region_bg_SHU
l10n_bg.87374,l10n_bg_intrastat_product.intrastat_region_bg_JAM
