id,name,code,level,parent_id/id,mod_manager,mod_specialist,mod_technician,mod_clerk,mod_service,mod_skilled,mod_operator,mod_elementary,date_from,date_to,active
cls_01_11,"Отглеждане на житни растения",01.11,class,grp_011,1077,933,933,933,933,933,933,933,2025-04-01,,TRUE
cls_01_12,"Отглеждане на ориз",01.12,class,grp_011,1077,933,933,933,933,933,933,933,2025-04-01,,TRUE
cls_01_13,"Отглеждане на зеленчукови и динени култури, корени и грудки",01.13,class,grp_011,1077,933,933,933,933,933,933,933,2025-04-01,,TRUE
cls_01_21,"Отглеждане на грозде",01.21,class,grp_012,1077,933,933,933,933,933,933,933,2025-04-01,,TRUE
cls_01_22,"Отглеждане на тропически и субтропически плодове",01.22,class,grp_012,1077,933,933,933,933,933,933,933,2025-04-01,,TRUE
cls_41_00,"Строителство на жилищни сгради",41.00,class,grp_41_0,1336,1077,933,933,933,933,933,933,2025-04-01,,TRUE
cls_42_00,"Строителство на инженерни съоръжения",42.00,class,grp_42_0,1336,1077,933,933,933,933,933,933,2025-04-01,,TRUE
cls_45_11,"Търговия с леки автомобили и малки автобуси",45.11,class,grp_451,1077,1077,933,933,933,933,933,933,2025-04-01,,TRUE
cls_47_11,"Търговия на дребно в неспециализирани магазини с преобладаваща продажба на хранителни стоки, напитки и тютюневи изделия",47.11,class,grp_471,1077,933,933,933,933,933,933,933,2025-04-01,,TRUE
cls_62_01,"Дейности по поръчково програмиране",62.01,class,grp_620,1336,1336,1336,1077,933,933,933,933,2025-04-01,,TRUE
cls_84_11,"Основни дейности на държавното управление",84.11,class,grp_841,1336,1336,1077,1077,933,933,933,933,2025-04-01,,TRUE
