id,name,code,level,parent_id/id,active
div_01,Растениевъдство и животновъдство; ловуване и сродни дейности,01,division,A,TRUE
div_02,Горско стопанство и дърводобив,02,division,A,TRUE
div_03,Рибарство и аквакултури,03,division,A,TRUE
div_05,Добив на въглища,05,division,B,TRUE
div_06,Добив на нефт и природен газ,06,division,B,TRUE
div_07,Добив на метални руди,07,division,B,TRUE
div_08,Добив на неметални материали,08,division,B,TRUE
div_09,Поддържащи дейности за добивна промишленост,09,division,B,TRUE
div_10,Производство на хранителни продукти,10,division,C,TRUE
div_11,Производство на напитки,11,division,C,TRUE
div_12,Производство на тютюневи изделия,12,division,C,TRUE
div_13,Производство на текстил,13,division,C,TRUE
div_14,Производство на облекло,14,division,C,TRUE
div_15,Производство на кожи и изделия от кожи,15,division,C,TRUE
div_16,Производство на дървесина и изделия от дървесина и корк,16,division,C,TRUE
div_17,Производство на хартия и изделия от хартия,17,division,C,TRUE
div_18,Печатна дейност и възпроизвеждане на записани носители,18,division,C,TRUE
div_19,Производство на кокс и продукти от преработка на нефт,19,division,C,TRUE
div_20,Производство на химични продукти,20,division,C,TRUE
div_21,Производство на лекарствени продукти,21,division,C,TRUE
div_22,Производство на изделия от каучук и пластмаса,22,division,C,TRUE
div_23,Производство на изделия от други неметални минерални суровини,23,division,C,TRUE
div_24,Производство на основни метали,24,division,C,TRUE
div_25,"Производство на метални изделия, без машини и оборудване",25,division,C,TRUE
div_26,"Производство на компютърна, електронна и оптична техника",26,division,C,TRUE
div_27,Производство на електрически съоръжения,27,division,C,TRUE
div_28,Производство на машини и оборудване с общо предназначение,28,division,C,TRUE
div_29,"Производство на автомобили, ремаркета и полуремаркета",29,division,C,TRUE
div_30,Производство на други превозни средства,30,division,C,TRUE
div_31,Производство на мебели,31,division,C,TRUE
div_32,Други производства,32,division,C,TRUE
div_33,Ремонт и инсталиране на машини и оборудване,33,division,C,TRUE
div_35,Производство и разпределение на електрическа и топлинна енергия и газ,35,division,D,TRUE
div_36,"Събиране, пречистване и доставка на води",36,division,E,TRUE
div_37,Събиране и пречистване на отпадъчни води,37,division,E,TRUE
div_38,"Събиране, третиране и обезвреждане на отпадъци",38,division,E,TRUE
div_39,Дейности по възстановяване и други услуги по управление на отпадъци,39,division,E,TRUE
div_41,Строителство на сгради,41,division,F,TRUE
div_42,Строителство на съоръжения,42,division,F,TRUE
div_43,Специализирани строителни дейности,43,division,F,TRUE
div_45,"Търговия, ремонт и техническо обслужване на автомобили и мотоциклети",45,division,G,TRUE
div_46,"Търговия на едро, без търговията с автомобили и мотоциклети",46,division,G,TRUE
div_47,"Търговия на дребно, без търговията с автомобили и мотоциклети",47,division,G,TRUE
div_49,Сухопътен транспорт; транспорт чрез тръбопроводи,49,division,H,TRUE
div_50,Воден транспорт,50,division,H,TRUE
div_51,Въздушен транспорт,51,division,H,TRUE
div_52,Складиране и спомагателни дейности за транспорта,52,division,H,TRUE
div_53,Пощенски и куриерски дейности,53,division,H,TRUE
div_55,Настаняване,55,division,I,TRUE
div_56,Дейности по приготвяне и сервиране на храна и напитки,56,division,I,TRUE
div_58,Издателски дейности,58,division,J,TRUE
div_59,"Кинематография, видеопрограми, телевизионни програми, звукозаписване",59,division,J,TRUE
div_60,Радио и телевизионни предавания,60,division,J,TRUE
div_61,Далекосъобщения,61,division,J,TRUE
div_62,"Компютърно програмиране, консултантски дейности и свързани дейности",62,division,J,TRUE
div_63,Информационни услуги,63,division,J,TRUE
div_64,"Финансови услуги, без застраховане и пенсионно осигуряване",64,division,K,TRUE
div_65,"Застраховане, презастраховане и пенсионно осигуряване",65,division,K,TRUE
div_66,Спомагателни дейности за финансови услуги и застраховане,66,division,K,TRUE
div_68,Операции с недвижими имоти,68,division,L,TRUE
div_69,Юридически и счетоводни дейности,69,division,M,TRUE
div_70,Дейности на централни офиси; консултантски дейности по управление,70,division,M,TRUE
div_71,Архитектурни и инженерни дейности; техническо изпитване и анализи,71,division,M,TRUE
div_72,Научноизследователски дейности и развитие,72,division,M,TRUE
div_73,Рекламни дейности и проучване на пазара,73,division,M,TRUE
div_74,"Други професионални, научни и технически дейности",74,division,M,TRUE
div_75,Ветеринарни дейности,75,division,M,TRUE
div_77,Даване под наем и лизинг,77,division,N,TRUE
div_78,Дейности по наемане и осигуряване на работа,78,division,N,TRUE
div_79,"Туристически агенции, туроператорски дейности",79,division,N,TRUE
div_80,Дейности по охрана и разследване,80,division,N,TRUE
div_81,Дейности по поддръжка на сгради и околна среда,81,division,N,TRUE
div_82,"Административни, офисни и други спомагателни дейности",82,division,N,TRUE
div_84,Държавно управление и отбрана; задължително социално осигуряване,84,division,O,TRUE
div_85,Образование,85,division,P,TRUE
div_86,Хуманно здравеопазване,86,division,Q,TRUE
div_87,Настаняване с предоставяне на медицински грижи,87,division,Q,TRUE
div_88,Социална работа без настаняване,88,division,Q,TRUE
div_90,"Творчески дейности, развлечения и отдих",90,division,R,TRUE
div_91,"Библиотеки, архиви, музеи и други культурни дейности",91,division,R,TRUE
div_92,Лотарийни и комарни игри,92,division,R,TRUE
div_93,"Спортни дейности, дейности, свързани с развлечения и отдих",93,division,R,TRUE
div_94,Дейности на организации с нестопанска цел,94,division,S,TRUE
div_95,"Ремонт на компютри, лични вещи и стоки за домакински нужди",95,division,S,TRUE
div_96,Други персонални услуги,96,division,S,TRUE
