id,name,code,level,parent_id/id,active
grp_011,Отглеждане на едногодишни култури,011,group,div_01,TRUE
grp_012,Отглеждане на многогодишни култури,012,group,div_01,TRUE
grp_41_0,Строителство на жилищни сгради,41.0,group,div_41,TRUE
grp_42_0,Строителство на инженерни съоръжения,42.0,group,div_42,TRUE
grp_451,Търговия с автомобили,451,group,div_45,TRUE
grp_471,Търговия на дребно в неспециализирани магазини,471,group,div_47,TRUE
grp_620,"Компютърно програмиране, консултантски дейности и свързани дейности",620,group,div_62,TRUE
grp_841,Основни дейности на държавното управление,841,group,div_84,TRUE
grp_851,Предучилищно образование,851,group,div_85,TRUE
grp_10_1,Производство и преработка на месо и месни продукти,10.1,group,div_10,TRUE
grp_10_2,Преработка и консервиране на риба и други водни животни,10.2,group,div_10,TRUE
grp_10_6,"Производство на мелничарски продукти, нишесте и нишестени продукти",10.6,group,div_10,TRUE
grp_10_8,Производство на други хранителни продукти,10.8,group,div_10,TRUE
grp_10_9,Производство на готови храни за животни,10.9,group,div_10,TRUE
grp_35_2,Производство и разпределение на газообразни горива по газоразпределителните мрежи,35.2,group,div_35,TRUE
grp_49_5,Тръбопроводен транспорт,49.5,group,div_49,TRUE
grp_86_1,Дейности на болници,86.1,group,div_86,TRUE
