id,name,code,level,parent_id/id,active
A,"Селско, горско и рибно стопанство",A,section,,TRUE
B,Добивна промишленост,B,section,,TRUE
C,Преработваща промишленост,C,section,,TRUE
D,Производство и разпределение на електрическа и топлинна енергия и газ,D,section,,TRUE
E,"Доставяне на води, канализация, управление на отпадъци",E,section,,TRUE
F,Строителство,F,section,,TRUE
G,Търговия; ремонт на автомобили и мотоциклети,G,section,,TRUE
H,"Транспорт, складиране и пощи",H,section,,TRUE
I,Хотелиерство и ресторантьорство,I,section,,TRUE
J,Създаване и разпространение на информация и творчески продукти; далекосъобщения,J,section,,TRUE
K,Финансови и застрахователни дейности,K,section,,TRUE
L,Операции с недвижими имоти,L,section,,TRUE
M,Професионални дейности и научни изследвания,M,section,,TRUE
N,Административни и спомагателни дейности,N,section,,TRUE
O,Държавно управление,O,section,,TRUE
P,Образование,P,section,,TRUE
Q,Хуманно здравеопазване и социална работа,Q,section,,TRUE
R,"Култура, спорт и развлечения",R,section,,TRUE
S,Други дейности,S,section,,TRUE
