id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id
bg_ncop_0,Професии във въоръжените сили,0,major_group,military,secondary,2,2025-01-01,TRUE,
bg_ncop_1,Ръководители,1,major_group,manager,higher,4,2025-01-01,TRUE,
bg_ncop_2,Специалисти,2,major_group,specialist,higher,4,2025-01-01,TRUE,
bg_ncop_3,Техници и приложни специалисти,3,major_group,technician,secondary,3,2025-01-01,TRUE,
bg_ncop_4,Помощен административен персонал,4,major_group,clerk,secondary,2,2025-01-01,TRUE,
bg_ncop_5,Персонал зает с услуги за населението търговията и охраната,5,major_group,service,secondary,2,2025-01-01,TRUE,
bg_ncop_6,Квалифицирани работници в селското горското ловното и рибното стопанство,6,major_group,skilled,primary,2,2025-01-01,TRUE,
bg_ncop_7,Квалифицирани работници и сродни на тях занаятчии,7,major_group,skilled,secondary,2,2025-01-01,TRUE,
bg_ncop_8,Машинни оператори и монтажници,8,major_group,operator,secondary,2,2025-01-01,TRUE,
bg_ncop_9,Професии неизискващи специална квалификация,9,major_group,elementary,primary,1,2025-01-01,TRUE,
