id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id/id
bg_ncop_011,ДЛЪЖНОСТИ ЗАЕМАНИ ОТ ОФИЦЕРИ,011,minor_group,military,secondary,2,2025-01-01,True,bg_ncop_01
bg_ncop_021,ДЛЪЖНОСТИ ЗАЕМАНИ ОТ СЕРЖАНТИ,021,minor_group,military,secondary,2,2025-01-01,True,bg_ncop_01
bg_ncop_031,ДЛЪЖНОСТИ ЗАЕМАНИ ОТ ВОЙНИЦИ,031,minor_group,military,secondary,2,2025-01-01,True,bg_ncop_01
bg_ncop_111,ЗАКОНОДАТЕЛИ И ВИСШИ ПРЕДСТАВИТЕЛИ,111,minor_group,manager,higher,4,2025-01-01,True,bg_ncop_11
bg_ncop_112,УПРАВЛЯВАЩИ И ИЗПЪЛНИТЕЛНИ ДИРЕКТОРИ,112,minor_group,manager,higher,4,2025-01-01,True,bg_ncop_11
bg_ncop_121,РЪКОВОДИТЕЛИ В БИЗНЕС УСЛУГИТЕ И АДМИНИСТРАТИВНИТЕ ДЕЙНОСТИ,121,minor_group,manager,higher,4,2025-01-01,True,bg_ncop_12
bg_ncop_122,РЪКОВОДИТЕЛИ ПО ПРОДАЖБИ МАРКЕТИНГ И РАЗВОЙНА ДЕЙНОСТ,122,minor_group,manager,higher,4,2025-01-01,True,bg_ncop_12
bg_ncop_131,РЪКОВОДИТЕЛИ В СЕЛСКОТО ГОРСКОТО И РИБНОТО СТОПАНСТВО,131,minor_group,manager,secondary,3,2025-01-01,True,bg_ncop_13
bg_ncop_132,РЪКОВОДИТЕЛИ В ПРЕРАБОТВАЩАТА И ДОБИВНАТА ПРОМИШЛЕНОСТ СТРОИТЕЛСТВОТО И ДИСТРИБУЦИЯТА,132,minor_group,manager,secondary,3,2025-01-01,True,bg_ncop_13
bg_ncop_133,РЪКОВОДИТЕЛИ В ОБЛАСТТА НА ИНФОРМАЦИОННИТЕ И КОМУНИКАЦИОННИТЕ ТЕХНОЛОГИИ,133,minor_group,manager,higher,4,2025-01-01,True,bg_ncop_13
bg_ncop_134,РЪКОВОДИТЕЛИ В ОБЛАСТТА НА ПРОФЕСИОНАЛНИТЕ УСЛУГИ,134,minor_group,manager,higher,4,2025-01-01,True,bg_ncop_13
bg_ncop_141,УПРАВИТЕЛИ НА ХОТЕЛИ И РЕСТОРАНТИ,141,minor_group,manager,secondary,3,2025-01-01,True,bg_ncop_14
bg_ncop_142,РЪКОВОДИТЕЛИ В ТЪРГОВИЯТА НА ЕДРО И ДРЕБНО,142,minor_group,manager,secondary,3,2025-01-01,True,bg_ncop_14
bg_ncop_143,РЪКОВОДИТЕЛИ НА ДРУГИ УСЛУГИ,143,minor_group,manager,secondary,3,2025-01-01,True,bg_ncop_14
bg_ncop_211,СПЕЦИАЛИСТИ ПО ФИЗИЧЕСКИ И ХИМИЧЕСКИ НАУКИ И НАУКИ ЗА ЗЕМЯТА,211,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_21
bg_ncop_212,МАТЕМАТИЦИ АКТЮЕРИ И СТАТИСТИЦИ,212,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_21
bg_ncop_213,СПЕЦИАЛИСТИ ПО ЕСТЕСТВЕНИ НАУКИ,213,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_21
bg_ncop_214,СПЕЦИАЛИСТИ ПО ТЕХНИЧЕСКИ НАУКИ БЕЗ ИНЖЕНЕРИ ПО ЕЛЕКТРОТЕХНОЛОГИИ,214,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_21
bg_ncop_215,ИНЖЕНЕРИ ПО ЕЛЕКТРОТЕХНОЛОГИИ,215,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_21
bg_ncop_216,АРХИТЕКТИ ПРОЕКТАНТИ ЗЕМЕМЕРИ И ДИЗАЙНЕРИ,216,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_21
bg_ncop_221,ЛЕКАРИ,221,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_22
bg_ncop_222,МЕДИЦИНСКИ СЕСТРИ И АКУШЕРКИ,222,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_22
bg_ncop_223,СПЕЦИАЛИСТИ В ОБЛАСТТА НА ТРАДИЦИОННАТА И КОМПЛЕМЕНТАРНА МЕДИЦИНА,223,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_22
bg_ncop_224,ПАРАМЕДИЦИНСКИ СПЕЦИАЛИСТИ,224,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_22
bg_ncop_225,ВЕТЕРИНАРИ,225,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_22
bg_ncop_226,ДРУГИ МЕДИЦИНСКИ И ЗДРАВНИ СПЕЦИАЛИСТИ,226,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_22
bg_ncop_231,ПРЕПОДАВАТЕЛИ ВЪВ ВИСШИ УЧИЛИЩА,231,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_23
bg_ncop_232,УЧИТЕЛИ ПО ПРОФЕСИОНАЛНА ПОДГОТОВКА В ПРОФЕСИОНАЛНОТО ОБРАЗОВАНИЕ И ОБУЧЕНИЕ И ПРЕПОДАВАТЕЛИ В ЦПО И В ПРОФЕСИОНАЛНИТЕ КОЛЕЖИ,232,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_23
bg_ncop_233,УЧИТЕЛИ ПО ОБЩООБРАЗОВАТЕЛНА ПОДГОТОВКА В СРЕДНОТО ОБРАЗОВАНИЕ V-XII КЛАС,233,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_23
bg_ncop_234,УЧИТЕЛИ В НАЧАЛЕН ЕТАП НА ОСНОВНОТО ОБРАЗОВАНИЕ I-IV КЛАС И В ПРЕДУЧИЛИЩНО ВЪЗПИТАНИЕ И ПОДГОТОВКА,234,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_23
bg_ncop_235,ДРУГИ ПРЕПОДАВАТЕЛИ,235,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_23
bg_ncop_241,ФИНАНСОВИ СПЕЦИАЛИСТИ,241,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_24
bg_ncop_242,АДМИНИСТРАТИВНИ СПЕЦИАЛИСТИ,242,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_24
bg_ncop_243,СПЕЦИАЛИСТИ ПО ПРОДАЖБИ МАРКЕТИНГ И ВРЪЗКИ С ОБЩЕСТВЕНОСТТА,243,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_24
bg_ncop_251,РАЗРАБОТЧИЦИ НА СОФТУЕР И СОФТУЕРНИ ПРИЛОЖЕНИЯ И АНАЛИЗАТОРИ,251,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_25
bg_ncop_252,СПЕЦИАЛИСТИ ПО БАЗИ ДАННИ И МРЕЖИ,252,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_25
bg_ncop_261,ЮРИСТИ,261,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_26
bg_ncop_262,БИБЛИОТЕКАРИ АРХИВИСТИ И УРЕДНИЦИ,262,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_26
bg_ncop_263,СПЕЦИАЛИСТИ ПО ОБЩЕСТВЕНИ НАУКИ И РЕЛИГИОЗНИ СПЕЦИАЛИСТИ,263,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_26
bg_ncop_264,ПИСАТЕЛИ ЖУРНАЛИСТИ И ЕЗИКОВЕДИ,264,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_26
bg_ncop_265,ТВОРЦИ И ИЗПЪЛНИТЕЛИ,265,minor_group,specialist,higher,4,2025-01-01,True,bg_ncop_26
bg_ncop_311,ПРИЛОЖНИ СПЕЦИАЛИСТИ ВЪВ ФИЗИЧЕСКИТЕ И ТЕХНИЧЕСКИТЕ НАУКИ,311,minor_group,technician,secondary,3,2025-01-01,True,bg_ncop_31
bg_ncop_312,ПРИЛОЖНИ СПЕЦИАЛИСТИ С КОНТРОЛНИ ФУНКЦИИ В ДОБИВНАТА И ПРЕРАБОТВАЩАТА ПРОМИШЛЕНОСТ И СТРОИТЕЛСТВОТО,312,minor_group,technician,secondary,3,2025-01-01,True,bg_ncop_31
bg_ncop_313,ТЕХНИЦИ ПО КОНТРОЛ НА ПРОИЗВОДСТВЕНИ ПРОЦЕСИ,313,minor_group,technician,secondary,3,2025-01-01,True,bg_ncop_31
bg_ncop_314,ПРИРОДОНАУЧНИ ТЕХНИЦИ И СРОДНИ НА ТЯХ СПЕЦИАЛИСТИ,314,minor_group,technician,secondary,3,2025-01-01,True,bg_ncop_31
bg_ncop_315,КОРАБНИ И АВИАЦИОННИ СПЕЦИАЛИСТИ,315,minor_group,technician,secondary,3,2025-01-01,True,bg_ncop_31
bg_ncop_321,ПРИЛОЖНИ СПЕЦИАЛИСТИ В МЕДИЦИНАТА И ФАРМАЦИЯТА,321,minor_group,technician,secondary,3,2025-01-01,True,bg_ncop_32
bg_ncop_322,ПОМОЩНИК-МЕДИЦИНСКИ СЕСТРИ И ПОМОЩНИК-АКУШЕРКИ,322,minor_group,technician,secondary,3,2025-01-01,True,bg_ncop_32
