id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id/id
bg_ncop_11119001,Президент на Република България,11119001,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119002,Вицепрезидент на Република България,11119002,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119003,Председател на Народно събрание,11119003,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119004,Заместник-председател на Народно събрание,11119004,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119005,Председател на комисия Народно събрание,11119005,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119006,Заместник-председател на комисия Народно събрание,11119006,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119007,Народен представител,11119007,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119008,Омбудсман,11119008,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119009,Заместник-омбудсман,11119009,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119010,Министър-председател,11119010,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119011,Заместник-министър-председател,11119011,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119012,Министър,11119012,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117013,Заместник-министър,11117013,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117014,Началник на политически кабинет министър,11117014,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11116015,Говорител на Министър-председателя,11116015,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119016,Кмет община,11119016,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11114017,Заместник-кмет община,11114017,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119018,Кмет кметство,11119018,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119019,Председател общински съвет,11119019,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119020,Заместник-председател общински съвет,11119020,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119021,Общински съветник,11119021,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119022,Кмет район,11119022,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11114023,Заместник-кмет район,11114023,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11113024,Кметски наместник община,11113024,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117025,Главен прокурор,11117025,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117026,Заместник-главен прокурор,11117026,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117027,Директор Национална следствена служба,11117027,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117028,Заместник-директор Национална следствена служба,11117028,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11119029,Председател на Конституционен съд,11119029,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117030,Председател Върховен касационен съд,11117030,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117031,Председател Върховен административен съд,11117031,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117032,Председател Апелативен съд,11117032,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117033,Председател окръжен съд,11117033,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117034,Председател районен съд,11117034,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117035,Председател на отделение Върховен касационен съд,11117035,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117036,Председател отделение Върховен административен съд,11117036,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117037,Председател градски съд,11117037,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117038,Заместник-председател Върховен касационен съд,11117038,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117039,Заместник-председател Върховен административен съд,11117039,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117040,Заместник-председател апелативен съд,11117040,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117041,Заместник-председател градски съд,11117041,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117042,Заместник-председател окръжен съд,11117042,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117043,Заместник-председател районен съд,11117043,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117044,Началник на кабинета на заместник министър-председател,11117044,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117045,Началник на кабинета на министър-председателя,11117045,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117046,Апелативен прокурор  Военно-апелативен прокурор,11117046,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117047,Окръжен прокурор  Военно-окръжен прокурор,11117047,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117048,Градски прокурор,11117048,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117049,Районен прокурор,11117049,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117050,Завеждащ окръжен следствен отдел в окръжна прокуратура,11117050,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11117051,Заместник-окръжен прокурор  Заместник военно-окръжен прокурор  Заместник-градски прокурор,11117051,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1111
bg_ncop_11127001,Главен секретар администрация на Президента,11127001,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127002,Главен секретар администрация на Народно събрание,11127002,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127003,Директор дирекция администрация на Народно събрание,11127003,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127004,Секретар Народно събрание,11127004,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127005,Държавен съветник Народно събрание Президентство,11127005,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127006,Началник протокол Народно събрание Президентство,11127006,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127007,Ръководител пресслужба Народно събрание Президентство,11127007,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127008,Главен държавен здравен инспектор,11127008,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127009,Областен управител,11127009,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127010,Заместник-областен управител,11127010,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129011,Управител Национален осигурителен институт,11129011,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129012,Подуправител Национален осигурителен институт,11129012,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127013,Председател Национален статистически институт,11127013,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127014,Заместник-председател Национален статистически институт,11127014,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129015,Управител Българска народна банка,11129015,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129016,Подуправител Българска народна банка,11129016,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129017,Председател Сметна палата,11129017,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129018,Управител Национална здравно-осигурителна каса,11129018,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129019,Председател държавна комисия,11129019,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127020,Заместник-председател държавна комисия,11127020,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129021,Председател на Икономически и социален съвет,11129021,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129022,Председател Надзорен съвет на агенция,11129022,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127023,Изпълнителен директор агенция,11127023,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127024,Заместник-изпълнителен директор агенция,11127024,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11126025,Началник митническо бюро,11126025,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127026,Главен секретар администрация,11127026,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127027,Главен секретар Сметна палата,11127027,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127028,Директор териториална дирекция агенция,11127028,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127029,Държавен съкровищник Министерство на финансите,11127029,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127030,Заместник-главен инспектор Министерство на отбраната,11127030,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127031,Директор регионална митническа дирекция,11127031,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127032,Заместник-директор регионална митническа дирекция,11127032,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127033,Началник митница,11127033,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127034,Заместник-началник митница,11127034,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127035,Директор териториално статистическо бюро,11127035,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127036,Началник регионално управление на образованието,11127036,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127037,Началник регионална дирекция,11127037,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127038,Посланик,11127038,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127039,Временно управляващ посолство,11127039,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127040,Генерален консул,11127040,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127041,Консул,11127041,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127042,Аташе,11127042,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127043,Главен директор главна дирекция в администрация,11127043,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127044,Ръководител звено правителствени агенти,11127044,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127045,Главен финансов директор Българска народна банка,11127045,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127046,Началник кабинет,11127046,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127047,Началник кабинет председател на Сметна палата,11127047,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127048,Директор териториално поделение НОИ,11127048,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127049,Парламентарен секретар,11127049,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127050,Заместник-директор териториална дирекция,11127050,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127051,Заместник главен директор главна дирекция в администрация,11127051,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
