id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id
bg_ncop_01,Служители във въоръжените сили,01,sub_major_group,military,secondary,2,2025-01-01,TRUE,bg_ncop_0
bg_ncop_11,Законодатели висши представители и изпълнителни директори,11,sub_major_group,manager,higher,4,2025-01-01,TRUE,bg_ncop_1
bg_ncop_12,Административни ръководители и ръководители в търговски дружества,12,sub_major_group,manager,higher,4,2025-01-01,TRUE,bg_ncop_1
bg_ncop_13,Ръководители в производството и специализираните услуги,13,sub_major_group,manager,secondary,3,2025-01-01,TRUE,bg_ncop_1
bg_ncop_14,Ръководители в хотелиерството търговията и други услуги,14,sub_major_group,manager,secondary,3,2025-01-01,TRUE,bg_ncop_1
bg_ncop_21,Специалисти по природни и технически науки,21,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2
bg_ncop_22,Медицински специалисти,22,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2
bg_ncop_23,Преподаватели,23,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2
bg_ncop_24,Стопански и административни специалисти,24,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2
bg_ncop_25,Специалисти по информационни и комуникационни технологии,25,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2
bg_ncop_26,Юристи и специалисти по обществени науки и култура,26,sub_major_group,specialist,higher,4,2025-01-01,TRUE,bg_ncop_2
bg_ncop_31,Приложни специалисти в природните и техническите науки,31,sub_major_group,technician,secondary,3,2025-01-01,TRUE,bg_ncop_3
bg_ncop_32,Приложни специалисти в здравеопазването,32,sub_major_group,technician,secondary,3,2025-01-01,TRUE,bg_ncop_3
bg_ncop_33,Стопански и административни приложни специалисти,33,sub_major_group,technician,secondary,3,2025-01-01,TRUE,bg_ncop_3
bg_ncop_34,Други приложни специалисти,34,sub_major_group,technician,secondary,3,2025-01-01,TRUE,bg_ncop_3
bg_ncop_35,Техници в областта на информационните и комуникационни технологии,35,sub_major_group,technician,secondary,3,2025-01-01,TRUE,bg_ncop_3
bg_ncop_41,Общи административни служители и оператори на организационна техника,41,sub_major_group,clerk,secondary,2,2025-01-01,TRUE,bg_ncop_4
bg_ncop_42,Административен персонал по обслужване на клиенти,42,sub_major_group,clerk,secondary,2,2025-01-01,TRUE,bg_ncop_4
bg_ncop_43,Административен персонал водещ счетоводни и стокови документи,43,sub_major_group,clerk,secondary,2,2025-01-01,TRUE,bg_ncop_4
bg_ncop_44,Друг помощен административен персонал,44,sub_major_group,clerk,secondary,2,2025-01-01,TRUE,bg_ncop_4
bg_ncop_51,Персонал зает в сферата на персоналните услуги,51,sub_major_group,service,secondary,2,2025-01-01,TRUE,bg_ncop_5
bg_ncop_52,Продавачи,52,sub_major_group,service,secondary,2,2025-01-01,TRUE,bg_ncop_5
bg_ncop_53,Персонал полагащ грижи за хора,53,sub_major_group,service,secondary,2,2025-01-01,TRUE,bg_ncop_5
bg_ncop_54,Персонал осигуряващ защита и сигурност,54,sub_major_group,service,secondary,2,2025-01-01,TRUE,bg_ncop_5
bg_ncop_61,Квалифицирани работници в селското стопанство произвеждащи за пазара,61,sub_major_group,skilled,primary,2,2025-01-01,TRUE,bg_ncop_6
bg_ncop_62,Квалифицирани работници в горското рибното и ловното стопанство произвеждащи за пазара,62,sub_major_group,skilled,primary,2,2025-01-01,TRUE,bg_ncop_6
bg_ncop_63,Селскостопански работници риболовци и ловци произвеждащи за собствено потребление,63,sub_major_group,skilled,primary,1,2025-01-01,TRUE,bg_ncop_6
bg_ncop_71,Строителни работници и сродни на тях без електротехници,71,sub_major_group,skilled,secondary,2,2025-01-01,TRUE,bg_ncop_7
bg_ncop_72,Металурзи машиностроители и сродни на тях работници и занаятчии,72,sub_major_group,skilled,secondary,2,2025-01-01,TRUE,bg_ncop_7
bg_ncop_73,Занаятчии и печатари,73,sub_major_group,skilled,secondary,2,2025-01-01,TRUE,bg_ncop_7
bg_ncop_74,Работници по инсталиране и ремонт на електрически и електронни съоръжения,74,sub_major_group,skilled,secondary,2,2025-01-01,TRUE,bg_ncop_7
bg_ncop_75,Работници по производство на храни облекло дървени изделия и сродни на тях,75,sub_major_group,skilled,secondary,2,2025-01-01,TRUE,bg_ncop_7
bg_ncop_81,Оператори на стационарни машини и съоръжения,81,sub_major_group,operator,secondary,2,2025-01-01,TRUE,bg_ncop_8
bg_ncop_82,Монтажници,82,sub_major_group,operator,secondary,2,2025-01-01,TRUE,bg_ncop_8
bg_ncop_83,Водачи на моторни превозни средства и оператори на подвижни съоръжения,83,sub_major_group,operator,secondary,2,2025-01-01,TRUE,bg_ncop_8
bg_ncop_91,Чистачи и помощници,91,sub_major_group,elementary,primary,1,2025-01-01,TRUE,bg_ncop_9
bg_ncop_92,Работници в селското горското и рибното стопанство,92,sub_major_group,elementary,primary,1,2025-01-01,TRUE,bg_ncop_9
bg_ncop_93,Работници в добивната и преработващата промишленост строителството и транспорта,93,sub_major_group,elementary,primary,1,2025-01-01,TRUE,bg_ncop_9
bg_ncop_94,Помощници при приготвянето на храни,94,sub_major_group,elementary,primary,1,2025-01-01,TRUE,bg_ncop_9
bg_ncop_95,Улични търговци и работници извършващи услуги на улицата,95,sub_major_group,elementary,primary,1,2025-01-01,TRUE,bg_ncop_9
bg_ncop_96,Работници по събиране на отпадъци и сродни на тях,96,sub_major_group,elementary,primary,1,2025-01-01,TRUE,bg_ncop_9
