name,code,level,parent_id,mod_manager,mod_specialist,mod_technician,mod_clerk,mod_service,mod_skilled,mod_operator,mod_elementary,tzpb_rate,date_from,date_to,active
"Селско, горско и рибно стопанство",A,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Добивна промишленост",B,section,,0,0,0,0,0,0,0,0,0.89,2025-04-01,,TRUE
"Преработваща промишленост",C,section,,0,0,0,0,0,0,0,0,0.71,2025-04-01,,TRUE
"Производство и разпределение на електрическа и топлинна енергия и газ",D,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Доставяне на води, канализация, управление на отпадъци",E,section,,0,0,0,0,0,0,0,0,0.27,2025-04-01,,TRUE
"Строителство",F,section,,0,0,0,0,0,0,0,0,0.71,2025-04-01,,TRUE
"Търговия; ремонт на автомобили и мотоциклети",G,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Транспорт, складиране и пощи",H,section,,0,0,0,0,0,0,0,0,0.27,2025-04-01,,TRUE
"Хотелиерство и ресторантьорство",I,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Създаване и разпространение на информация и творчески продукти; далекосъобщения",J,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Финансови и застрахователни дейности",K,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Операции с недвижими имоти",L,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Професионални дейности и научни изследвания",M,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Административни и спомагателни дейности",N,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Държавно управление",O,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Образование",P,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Хуманно здравеопазване и социална работа",Q,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Култура, спорт и развлечения",R,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Други дейности",S,section,,0,0,0,0,0,0,0,0,0.14,2025-04-01,,TRUE
"Растениевъдство и животновъдство; ловуване и сродни дейности",01,division,A,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Горско стопанство и дърводобив",02,division,A,1077,933,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Рибарство и аквакултури",03,division,A,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Отглеждане на едногодишни култури",011,group,01,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Отглеждане на житни растения",01.11,class,011,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Отглеждане на ориз",01.12,class,011,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Отглеждане на зеленчукови и динени култури, корени и грудки",01.13,class,011,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Отглеждане на многогодишни култури",012,group,01,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Отглеждане на грозде",01.21,class,012,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Отглеждане на тропически и субтропически плодове",01.22,class,012,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Добив на въглища",05,division,B,1336,1077,933,933,933,933,933,933,1.35,2025-04-01,,TRUE
"Добив на нефт и природен газ",06,division,B,1336,1336,1077,933,933,933,933,933,0.89,2025-04-01,,TRUE
"Добив на метални руди",07,division,B,1336,1077,1077,933,933,933,933,933,1.35,2025-04-01,,TRUE
"Добив на неметални материали",08,division,B,1336,1077,933,933,933,933,933,933,0.89,2025-04-01,,TRUE
"Поддържащи дейности за добивна промишленост",09,division,B,1336,1077,933,933,933,933,933,933,0.89,2025-04-01,,TRUE
"Производство на хранителни продукти",10,division,C,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство на напитки",11,division,C,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство на тютюневи изделия",12,division,C,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство на текстил",13,division,C,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство на облекло",14,division,C,1077,933,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство на кожи и изделия от кожи",15,division,C,1077,933,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство на дървесина и изделия от дървесина и корк",16,division,C,1336,1077,933,933,933,933,933,933,0.89,2025-04-01,,TRUE
"Производство на хартия и изделия от хартия",17,division,C,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Печатна дейност и възпроизвеждане на записани носители",18,division,C,1336,1077,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Производство на кокс и продукти от преработка на нефт",19,division,C,1336,1336,1077,933,933,933,933,933,1.35,2025-04-01,,TRUE
"Производство на химични продукти",20,division,C,1336,1336,1077,933,933,933,933,933,1.35,2025-04-01,,TRUE
"Производство на лекарствени продукти",21,division,C,1336,1336,1077,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство на изделия от каучук и пластмаса",22,division,C,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство на изделия от други неметални минерални суровини",23,division,C,1336,1077,933,933,933,933,933,933,0.89,2025-04-01,,TRUE
"Производство на основни метали",24,division,C,1336,1336,1077,933,933,933,933,933,1.35,2025-04-01,,TRUE
"Производство на метални изделия, без машини и оборудване",25,division,C,1336,1077,1077,933,933,933,933,933,0.89,2025-04-01,,TRUE
"Производство на компютърна, електронна и оптична техника",26,division,C,1336,1336,1336,1077,933,933,933,933,0.27,2025-04-01,,TRUE
"Производство на електрически съоръжения",27,division,C,1336,1336,1077,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство на машини и оборудване с общо предназначение",28,division,C,1336,1336,1077,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство на автомобили, ремаркета и полуремаркета",29,division,C,1336,1336,1077,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство на други превозни средства",30,division,C,1336,1336,1077,933,933,933,933,933,0.89,2025-04-01,,TRUE
"Производство на мебели",31,division,C,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Други производства",32,division,C,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Ремонт и инсталиране на машини и оборудване",33,division,C,1336,1077,1077,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Производство и разпределение на електрическа и топлинна енергия и газ",35,division,D,1336,1336,1077,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Събиране, пречистване и доставка на води",36,division,E,1336,1077,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Събиране и пречистване на отпадъчни води",37,division,E,1336,1077,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Събиране, третиране и обезвреждане на отпадъци",38,division,E,1336,1077,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Дейности по възстановяване и други услуги по управление на отпадъци",39,division,E,1336,1077,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Строителство на сгради",41,division,F,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Строителство на съоръжения",42,division,F,1336,1077,933,933,933,933,933,933,0.89,2025-04-01,,TRUE
"Специализирани строителни дейности",43,division,F,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Строителство на жилищни сгради",41.0,group,41,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Строителство на жилищни сгради",41.00,class,41.0,1336,1077,933,933,933,933,933,933,0.71,2025-04-01,,TRUE
"Строителство на инженерни съоръжения",42.0,group,42,1336,1077,933,933,933,933,933,933,0.89,2025-04-01,,TRUE
