Код;Наименование
11119001;Президент на Република България
11119002;Вицепрезидент на Република България
11119003;Председател на Народно събрание
11119004;Заместник-председател на Народно събрание
11119005;Председател на комисия, Народно събрание
11119006;Заместник-председател на комисия, Народно събрание
11119007;Народен представител
11119008;Омбудсман
11119009;Заместник-омбудсман
11119010;Министър-председател
11119011;Заместник-министър-председател
11119012;Министър
11117013;Заместник-министър
11117014;Началник на политически кабинет, министър
11116015;Говорител на Министър-председателя
11119016;Кмет, община
11114017;Заместник-кмет, община
11119018;Кмет, кметство
11119019;Председател, общински съвет
11119020;Заместник-председател, общински съвет
11119021;Общински съветник
11119022;Кмет, район
11114023;Заместник-кмет, район
11113024;Кметски наместник, община
11117025;Главен прокурор
11117026;Заместник-главен прокурор
11117027;Директор, Национална следствена служба
11117028;Заместник-директор, Национална следствена служба
11119029;Председател на Конституционен съд
11117030;Председател, Върховен касационен съд
11117031;Председател, Върховен административен съд
11117032;Председател, Апелативен съд
11117033;Председател, окръжен съд
11117034;Председател, районен съд
11117035;Председател на отделение, Върховен касационен съд
11117036;Председател отделение, Върховен административен съд
11117037;Председател, градски съд
11117038;Заместник-председател, Върховен касационен съд
11117039;Заместник-председател, Върховен административен съд
11117040;Заместник-председател, апелативен съд
11117041;Заместник-председател, градски съд
11117042;Заместник-председател, окръжен съд
11117043;Заместник-председател, районен съд
11117044;Началник на кабинета на заместник министър-председател
11117045;Началник на кабинета на министър-председателя
11117046;Апелативен прокурор/ Военно-апелативен прокурор
11117047;Окръжен прокурор/ Военно-окръжен прокурор
11117048;Градски прокурор
11117049;Районен прокурор
11117050;Завеждащ окръжен следствен отдел в окръжна прокуратура
11117051;Заместник-окръжен прокурор/ Заместник военно-окръжен прокурор/ Заместник-градски прокурор
11127001;Главен секретар, администрация на Президента
11127002;Главен секретар, администрация на Народно събрание
11127003;Директор дирекция, администрация на Народно събрание
11127004;Секретар, Народно събрание
11127005;Държавен съветник, Народно събрание/Президентство
11127006;Началник протокол, Народно събрание/Президентство
11127007;Ръководител пресслужба, Народно събрание/Президентство
